variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s5q1_11,5.1.11 Source of organic fertilizer Season B,int8,"1=Own prepared, 2=Bought, 3=One part bought and the other own prepared, 4=Gift, 5=One part bought the other own prepared  and the other was a gift",5,8336,0,,,,
s5q1_12,5.1.12 Quantity purchased during agricultural Season B 2017 (Kg),int32,,0,1184,0,,,,
s5q1_13,5.1.13 Amount paid for purchasing the organic fertilizer during agricultural Sea,int32,,0,1184,0,,,,
s5q1_14_1,5.1.14 Method used for preparing manure Season B-Methode 1,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,6827,0,,,,
s5q1_14_2,5.1.14 Method used for preparing manure Season B-Methode 2,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,365,0,,,,
s5q1_14_3,5.1.14 Method used for preparing manure Season B-Methode 3,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,365,0,,,,
s5q1_15,5.1.15 Is there any quantity of used organic fertilizer that any member of the h,string,,0,16057,10666,,,,
s5q1_16,5.1.16. Did any member of your household use lime or gypsum at least in one plot,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q2_1,5.2.1 Did any member of your household use inorganic fertilizer at least in one,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q2_2,5.2.2 What was the type of inorganic fertilizer used? Type 1,int8,"1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea, 5= liquid urea …",9,4440,0,,,,
s5q2_3,5.2.3 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,4440,0,,,,
s5q2_4,5.2.4 Quantity of used fertilizer_Type 1,double,,0,4440,0,,,,
s5q2_5,5.2.5 Quantity of purchased fertilizer_Type 1,double,,0,4440,0,,,,
s5q2_6,5.2.6 Price of inorganic fertilizer_Type 1(RWF/Kg),int16,,0,4289,0,,,,
s5q2_7,5.2.7 Source of the used inorganic fertilizer-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,4440,0,,,,
s5q2_8,5.2.8 What was the type of inorganic fertilizer used? Type 2,int8,"0=Not Applicable, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,4440,0,,,,
