scope,wave,native,clean_name,clean_label,native_label
pooled:AHS_pooled_person.dta,2017,s1q3,ahs_relationship_household_head,AHS 2017: What is the member relationship with the household Head?,1.3 What is the member relationship with the household Head?
pooled:AHS_pooled_person.dta,2024,s1q3m,ahs_age_months,AHS 2024: Age (Months),Age (Months)
pooled:AHS_pooled_person.dta,2024,s1q4,ahs_marital_status_2024,AHS 2024: Marital status,Marital status
pooled:AHS_pooled_person.dta,2020,s1q4_v2,ahs_hh_relation_hh_head_2020,AHS 2020: What is the household member's relationship with the household Head?,1.4 What is the household member's relationship with the household Head?
pooled:AHS_pooled_person.dta,2024,s1q5a,ahs_country_birth,AHS 2024: Country of birth,country of birth
pooled:AHS_pooled_person.dta,2024,s1q5b,ahs_district_birth,AHS 2024: District of birth,District of birth
pooled:AHS_pooled_person.dta,2024,s1q6,ahs_nationality_2024,AHS 2024: Nationality,Nationality
pooled:AHS_pooled_person.dta,2017,s1q6_v2,ahs_child_schooled_2017,AHS 2017: Did this child schooled?,1.6 Did this child schooled?
pooled:AHS_pooled_person.dta,2024,s1q7,ahs_months_away_household_2024,"AHS 2024: How many months has been away from this household, past 12 months",how many months has been away from this household during past 12 months
pooled:AHS_pooled_person.dta,2020,s1q7_v2,ahs_highest_educ_attained_2020,AHS 2020: Highest level of education attained by the the name of household,1.7 Highest level of education attained by the [the name of household member]
pooled:AHS_pooled_person.dta,2017,s1q7_v3,ahs_highest_educ_attained_2017,AHS 2017: Highest level of education attained by the household member,1.7 What is the highest level of education attained by the household member?
pooled:AHS_pooled_person.dta,2024,s1q7a,ahs_absent_12_months,AHS 2024: Absent during the past 12 months,Absent during past 12 months
pooled:AHS_pooled_person.dta,2024,s1q8,ahs_prim_reason_absence_hh_2024,AHS 2024: Primary reason of absence from household in the last 12 months,primary  reason of absence from household in the last 12 months
pooled:AHS_pooled_person.dta,2020,s1q8_v2,ahs_economic_activity_hh_2020,AHS 2020: What is the main economic activity of the name of household member,1.8 What is the main economic activity of [the name of household member]
pooled:AHS_pooled_person.dta,2017,s1q8_v3,ahs_economic_activity_hh_2017,AHS 2017: What is the main economic activity of household member?,1.8 What is the main economic activity of household member?
pooled:AHS_pooled_person.dta,2024,s1q9,ahs_resident_another_hh_2024,AHS 2024: Resident of another household in the last 12 months,Resident of another household in the last 12 months
pooled:AHS_pooled_person.dta,2020,s1q9_v2,ahs_engaged_agric_activ_2020,AHS 2020: Member name engaged in agric. activities in 2019/2020 agric. year,1.9 [member name] engaged in agric. activities in 2019/2020 agric. year
pooled:AHS_pooled_person.dta,2017,s1q9_v3,ahs_farming_activ_located_2017,AHS 2017: Where the farming activity is located?,1.9 Where the farming activity is located?
pooled:AHS_pooled_person.dta,2024,s2q2,ahs_always_lived_district,AHS 2024: Always lived in the district,Always lived in the district
pooled:AHS_pooled_person.dta,2024,s2q3m,ahs_duration_last_move_months,AHS 2024: Duration since last move (months),Duration since last move (months)
pooled:AHS_pooled_person.dta,2024,s2q3y,ahs_duration_last_move_years,AHS 2024: Duration since last move (years),Duration since last move (years)
pooled:AHS_pooled_person.dta,2024,s2q4a,ahs_country_lived_prior_place,AHS 2024: Country lived prior to current place,country  lived prior to current place
pooled:AHS_pooled_person.dta,2024,s2q4b,ahs_district_lived_prior_place,AHS 2024: District lived prior to current place,District lived prior to current place
pooled:AHS_pooled_person.dta,2024,s2q5,ahs_place_lived_prior_place,AHS 2024: Kind of place lived prior to current place,Kind of place lived prior to current place
pooled:AHS_pooled_person.dta,2024,s2q6,ahs_duration_lived_previuos,AHS 2024: Duration lived in the previuos location years,Duration lived in the previuos location years
pooled:AHS_pooled_person.dta,2024,s2q7,ahs_primary_reason_moving,AHS 2024: Primary reason for moving,Primary reason for moving
pooled:AHS_pooled_person.dta,2024,s2q8,ahs_move_alone_other_household,AHS 2024: Move alone or with other members of your household,Move alone or with other members of your household
pooled:AHS_pooled_person.dta,2024,s3q10,ahs_difficulty_remembering,AHS 2024: Difficulty in remembering or concentrating,Difficulty in remembering or concentrating
pooled:AHS_pooled_person.dta,2024,s3q11,ahs_difficulty_communicating,AHS 2024: Difficulty communicating,Difficulty communicating
pooled:AHS_pooled_person.dta,2024,s3q12,ahs_difficulty_self_care_washing,AHS 2024: Difficulty in self-care (such as: washing all over or dressing),Difficulty in self-care (such as: washing all over or dressing)
pooled:AHS_pooled_person.dta,2024,s3q2,ahs_covered_health_insurance,AHS 2024: In the last 12 Months was covered by any health insurance?,In the last 12 Months was covered by any health insurance?
pooled:AHS_pooled_person.dta,2024,s3q3,ahs_main_health_insurance_carry,AHS 2024: Main health insurance carry,Main health insurance carry
pooled:AHS_pooled_person.dta,2024,s3q4,ahs_suffer_illness_injury,AHS 2024: Suffer from an illness or injury over the last 4weeks,Suffer from an illness or injury over the last 4weeks
pooled:AHS_pooled_person.dta,2024,s3q5,ahs_medical_consultation,AHS 2024: Medical consultation in the over last 4 weeks,Medical consultation in the over last 4 weeks
pooled:AHS_pooled_person.dta,2024,s3q5a,ahs_why_not_consult_medical,AHS 2024: Why not consult any Medical profession,why not consult any Medical profession
pooled:AHS_pooled_person.dta,2024,s3q6,ahs_reason_medical_consultation,AHS 2024: Main reason for medical consultation,Main reason for medical consultation
pooled:AHS_pooled_person.dta,2024,s3q7,ahs_difficulty_seeing,AHS 2024: Difficulty in seeing,Difficulty in seeing
pooled:AHS_pooled_person.dta,2024,s3q8,ahs_difficulty_hearing,AHS 2024: Difficulty hearing,Difficulty hearing
pooled:AHS_pooled_person.dta,2024,s3q9,ahs_difficulty_moving,AHS 2024: Difficulty in moving,Difficulty in moving
pooled:AHS_pooled_person.dta,2024,s4aq1,ahs_school_organized_learning,AHS 2024: Ever been to school or organized learning,Ever been to school or organized learning
pooled:AHS_pooled_person.dta,2024,s4aq10,ahs_reason_delaying_start_school,AHS 2024: Reason for delaying start the school?,Reason for delaying start the school?
pooled:AHS_pooled_person.dta,2024,s4aq11,ahs_type_school,AHS 2024: Type of school,Type of school
pooled:AHS_pooled_person.dta,2024,s4aq14a,ahs_registration_school_fees,AHS 2024: Registration and school fees,Registration and school fees
pooled:AHS_pooled_person.dta,2024,s4aq14b,ahs_parent_contributions,AHS 2024: Parent contributions,Parent contributions
pooled:AHS_pooled_person.dta,2024,s4aq14c,ahs_school_uniforms,AHS 2024: School uniforms,School uniforms
pooled:AHS_pooled_person.dta,2024,s4aq14d,ahs_books_school_supplies,AHS 2024: Books and school supplies,Books and school supplies
pooled:AHS_pooled_person.dta,2024,s4aq14e,ahs_transport_school,AHS 2024: Transport to and from school,Transport to and from school
pooled:AHS_pooled_person.dta,2024,s4aq14f,ahs_room_board_board,AHS 2024: Room and board (or board only),Room and board (or board only)
pooled:AHS_pooled_person.dta,2024,s4aq14g,ahs_other_schooling_expenditures,AHS 2024: Other schooling expenditures,Other schooling expenditures
pooled:AHS_pooled_person.dta,2024,s4aq14h,ahs_educ_expenses_non,AHS 2024: Total education expenses (non-distributed option),Total education expenses (non-distributed option)
pooled:AHS_pooled_person.dta,2024,s4aq1a,ahs_reason_never_attended_school,AHS 2024: Main reason of never attended school,Main reason of never attended school
pooled:AHS_pooled_person.dta,2024,s4aq2,ahs_highest_class_succesfully,AHS 2024: Highest class succesfully attended in school,Highest class succesfully attended in school
pooled:AHS_pooled_person.dta,2024,s4aq20,ahs_reason_leaving_school,AHS 2024: Reason for leaving school,Reason for leaving school
pooled:AHS_pooled_person.dta,2024,s4aq2a,ahs_years_school_complete,AHS 2024: Years of school complete successfully at that level?,years of school  complete successfully at that level?
pooled:AHS_pooled_person.dta,2024,s4aq3,ahs_highest_diploma_certificate,AHS 2024: Highest diploma/certificate/ degree you have ever obtained,Highest diploma/certificate/ degree you have ever obtained
pooled:AHS_pooled_person.dta,2024,s4aq6a,ahs_class_attended_2024,AHS 2024: Class attended in 2022/2023,Class attended in 2022/2023
pooled:AHS_pooled_person.dta,2024,s4aq6b,ahs_class_attended_2024_s4aq6b,AHS 2024: Class attended in 2023/2024,Class attended in 2023/2024
pooled:AHS_pooled_person.dta,2024,s4aq6c,ahs_class_attended_2024_s4aq6c,AHS 2024: Class attended in 2024/2025,Class attended in 2024/2025
pooled:AHS_pooled_person.dta,2024,s4aq6d,ahs_cause_repeat_class,AHS 2024: Cause of repeat the 2023 class in 2024,Cause of repeat the 2023 class in 2024
pooled:AHS_pooled_person.dta,2024,s4aq7,ahs_attended_school,AHS 2024: Attended school in the last 12 months,Attended school in the last 12 months
pooled:AHS_pooled_person.dta,2024,s4aq8,ahs_highest_education_attended,AHS 2024: Highest level of education attended in last 12 months,Highest level of education attended in last 12 months
pooled:AHS_pooled_person.dta,2024,s4aq8a,ahs_highest_class_attended,AHS 2024: Highest class attended in last 12 months,Highest class attended in last 12 months
pooled:AHS_pooled_person.dta,2024,s4aq8b,ahs_boarding_school,AHS 2024: Boarding School,Boarding School
pooled:AHS_pooled_person.dta,2024,s4aq9,ahs_age_studying_reported_class,AHS 2024: Age when studying in the Reported class,Age when studying in the Reported class
pooled:AHS_pooled_person.dta,2024,s4bq1,ahs_attended_vocational_training,AHS 2024: Attended any vocational training,attended any vocational training
pooled:AHS_pooled_person.dta,2024,s4bq10,ahs_type_phone_own,AHS 2024: Type of phone do you own?,type of phone do you own?
pooled:AHS_pooled_person.dta,2024,s4bq11,ahs_reasons_not_having,AHS 2024: Reasons for not having a smartphone,reasons for not having a smartphone
pooled:AHS_pooled_person.dta,2024,s4bq12,ahs_why_not_mobile_telephone,AHS 2024: Why does not have a mobile telephone,Why does not have a mobile telephone
pooled:AHS_pooled_person.dta,2024,s4bq13a,ahs_own_computer,AHS 2024: Own a computer,Own a computer
pooled:AHS_pooled_person.dta,2024,s4bq13b,ahs_computer_literacy,AHS 2024: Computer literacy,Computer literacy
pooled:AHS_pooled_person.dta,2024,s4bq13c,ahs_often_use_computer,AHS 2024: How often did use a computer in the last three months?,How often did use a computer in the last three months?
pooled:AHS_pooled_person.dta,2024,s4bq14a,ahs_copying_moving_file_folder,AHS 2024: Copying or moving a file or a folder,Copying or moving a file or a folder
pooled:AHS_pooled_person.dta,2024,s4bq14b,ahs_using_copy_paste_tools,AHS 2024: Using copy and paste tools to duplicate or move information,Using copy and paste tools to duplicate or move information
pooled:AHS_pooled_person.dta,2024,s4bq14c,ahs_sending_mails_attached_files,AHS 2024: Sending e-mails with attached files,Sending e-mails with attached files
pooled:AHS_pooled_person.dta,2024,s4bq14d,ahs_using_basic_arithmetic,AHS 2024: Using basic arithmetic formula in a spreadsheet,Using basic arithmetic formula in a spreadsheet
pooled:AHS_pooled_person.dta,2024,s4bq14e,ahs_connecting_installing_new,AHS 2024: Connecting and installing new devices,Connecting and installing new devices
pooled:AHS_pooled_person.dta,2024,s4bq14f,ahs_finding_downloading,"AHS 2024: Finding, downloading, installing and configuring software","Finding, downloading, installing and configuring software"
pooled:AHS_pooled_person.dta,2024,s4bq14g,ahs_creating_electronic,AHS 2024: Creating electronic presentations with presentation software,Creating electronic presentations with presentation software
pooled:AHS_pooled_person.dta,2024,s4bq14h,ahs_transferring_files_computer,AHS 2024: Transferring files between a computer and other devices,Transferring files between a computer and other devices
pooled:AHS_pooled_person.dta,2024,s4bq14i,ahs_writing_computer_program,AHS 2024: Writing a computer program using a specialized programming language,Writing a computer program using a specialized programming language
pooled:AHS_pooled_person.dta,2024,s4bq15,ahs_used_internet,AHS 2024: Used of internet in the last 3 months,Used of internet in the last 3 months
pooled:AHS_pooled_person.dta,2024,s4bq16,ahs_reason_not_using_internet,AHS 2024: Reason for not using internet in the last three months?,Reason for not using internet in the last three months?
pooled:AHS_pooled_person.dta,2024,s4bq17,ahs_often_use_internet,AHS 2024: How often did use the internet in the last three months?,How often did use the internet in the last three months?
pooled:AHS_pooled_person.dta,2024,s4bq18,ahs_use_internet_finding_info,AHS 2024: Use of the internet for finding information about goods,Use of the internet in the last three months for finding information about goods
pooled:AHS_pooled_person.dta,2024,s4bq19,ahs_use_internet_reading,AHS 2024: Use of internet for reading or downloading online news,Use of internet in the last three months for reading or downloading online news/
pooled:AHS_pooled_person.dta,2024,s4bq2,ahs_expense_training_including,"AHS 2024: Expense of this training including fees, expenses and accommodation","Expense of this training including fees, expenses and accommodation"
pooled:AHS_pooled_person.dta,2024,s4bq20,ahs_use_internet_obtaining_info,AHS 2024: Use of the internet for obtaining information from webs,Use of the internet in the last three months for obtaining information from webs
