variable,label,type,value_labels,n_value_labels,n_2017,n_2024,source,versions,label_variants,value_label_conflicts
s2q5,2.5 How much did you pay in cash for renting this plot this season?,int32,,0,0,1801,,s2q5_v2 (2017),,
s2q6,2.6 What is the value of the products you shared as a payment of the rent of thi,int32,,0,0,755,,s2q6_v2 (2017),,
s2q7,2.7 Is this plot belong in household parcels that have a land title?,int8,"1=Yes, 2=No, 3=Don't know",3,0,18822,,,,
s2q8,2.8 Household members with the right to sell/use the land as a guarantee for a l,double,,0,0,18821,,,,
s2q9,2.9 Household members with the right to bequeath the land.,double,,0,0,18756,,s2q9_v2 (2017),,
season,,int8,,0,0,23266,,,,
quintile,Quintiles of real consumption per ae,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,23266,,,,
epov_jan,Extreme Poverty,int8,,0,0,23266,,,,
pov_jan,Poverty Rate,int8,,0,0,23266,,,,
total_agr_land,Total agriculture land/household in ha,double,,0,0,17448,,,,
