variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s8a1q3,Amount spent to purchase  in last 12 months,int32,999999999=Missing,1,EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),0,0,198484,28593,179231,19240,214867,47718,,,EICV4_CS: Amount spent on article in last 12 months; EICV4_VUP: Amount spent on article in last 12 months; EICV5_CS: Amount spent to purchase article; EICV5_VUP: Amount spent to purchase article,
s8a1q4_v3,[EICV4_CS..EICV4_VUP version] Where did you buy it most often,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",12,household (expenditure and own consumption),0,0,198484,28593,0,0,0,0,,"s8a1q4 (EICV7_CS, EICV7_VUP), s8a1q4_v2 (EICV5_CS, EICV5_VUP)",,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,household (expenditure and own consumption),0,0,994911,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,household (expenditure and own consumption),0,0,994911,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,household (expenditure and own consumption),0,0,994911,169740,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,household (expenditure and own consumption),0,0,994911,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,994911,169740,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,household (expenditure and own consumption),0,0,994911,169740,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,household (expenditure and own consumption),0,0,0,169740,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,EICV5_CS: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),0,0,0,0,1006020,0,1159158,290367,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s8a1q4_v2,[EICV5_CS..EICV5_VUP version] Where article was bought,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (expenditure and own consumption),0,0,0,0,179233,19240,0,0,,"s8a1q4 (EICV7_CS, EICV7_VUP), s8a1q4_v3 (EICV4_CS, EICV4_VUP)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,household (expenditure and own consumption),0,0,0,0,0,113436,0,0,,,,
s0q18m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,0,0,0,113436,0,0,,,,
s0q18y,Year of interview,int16,,0,household (expenditure and own consumption),0,0,0,0,0,113436,0,0,,,,
s8a1q0_v2,[EICV7_CS..EICV7_VUP version] Items Name,int8,"1=Fabric (cloth) for men, 2=Fabric (cloth) for women, 3=Wrap around cloth for women (Igitenge), 4=Men's garments, 5=Men's tailoring …",77,household (consumption by source),0,0,0,0,0,0,1159158,290367,,"s8a1q0 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s8a1q4,Place where  purchased in the last 12 months,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",12,household (consumption by source),0,0,0,0,0,0,214925,47730,,"s8a1q4_v2 (EICV5_CS, EICV5_VUP), s8a1q4_v3 (EICV4_CS, EICV4_VUP)",,
s8a1q5,Article received as Gifts and In-kind,int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,1159158,290367,,,,
s8a1q6,Value of Article received as Gifts and In-kind,int32,,0,household (consumption by source),0,0,0,0,0,0,34169,10727,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,household (consumption by source),0,0,0,0,0,0,1159158,290367,,,EICV7_CS: strata_id,
epov_jan,Extreme Poverty,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,household (consumption by source),0,0,0,0,0,0,1159158,290367,,,,
pov_jan,Poverty Rate,int8,"0=Non Poor, 100=Poor",2,household (consumption by source),0,0,0,0,0,0,1159158,290367,,,,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,household (consumption by source),0,0,0,0,0,0,1159158,290367,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
