variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
s5cq14,Amount contribute to maintain the water source during the last month,int32,99999=Missing,1,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,"s5cq14_v2 (EICV7_CS), s5cq14_v3 (EICV3)",EICV4_CS: Amount paid to maintain water source (last month),
s5cq15,Household manage the rainwater,int8,"1=No measures, 2=Rainwater tank from roof, 3=Ditch, 4=Piped away, 5=Other …",6,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,"s5cq15_v2 (EICV7_CS), s5cq15_v3 (EICV3)",EICV4_CS: Rainwater management,
s5cq16,Main source energy for home lighting,int8,"1=Electricity from National Grid (EUCL), 2=Electricity from Mini Grid (Other distributors), 3=Private Solar Mini Grid, 4=Standalone solar system, 5=Solar lantern …",17,"EICV4_CS: household (housing, services); EICV5_CS: household (housing, services); EICV7_CS: household (housing, shocks, services)",0,0,0,14419,14580,15054,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,s5cq16_v2 (EICV3),EICV4_CS: Main source of lighting in home; EICV5_CS: Main source of home lighting,"{""1"": [""Electricity from EUCL"", ""Electricity from EWSA"", ""Electricity from National Grid (EUCL)""], ""8"": [""Generator (Own, Neighbor, Community)"", ""Lantern (Agatadowa)"", ""Lantern _Agatadowa_""], ""11"": [""Candle"", ""Other (specify)"", ""Torch/Phone""], ""2"": [""Electricity from Mini Grid (Other distributors)"", ""Other electricity distributors""], ""3"": [""Bio Gas"", ""Private Solar Mini Grid""], ""4"": [""Generator"", ""Standalone solar system""], ""5"": [""Oil Lamp"", ""Solar lantern""], ""6"": [""Firewood"", ""Rechargeable lantern""], ""7"": [""Biogas"", ""Candle""], ""9"": [""Kerosene/paraffin Lamp"", ""Solar panel""], ""10"": [""Batteries+ Bulb"", ""Firewood""], ""12"": [""Rechargeable battery"", ""Traditional Lantern""], ""13"": [""Batteries+ bulb"", ""Other _specify_""]}"
s5cq17,Amount paid on electricity in last 4 weeks,int32,99999999=Missing,1,"household (housing, services)",0,0,0,2595,3787,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,"s5cq17_v2 (EICV7_CS), s5cq17_v3 (EICV3)",EICV4_CS: Amount paid for electricity in last 4 weeks,
s5cq18,Primary source of cooking fuel,int8,"1=Firewood, 2=Charcoal, 3=Gas, 4=Biogaz, 5=Solar power …",11,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,"s5cq18_v2 (EICV7_CS), s5cq18_v3 (EICV3)",,"{""10"": [""Other"", ""Other_specity_""]}"
s5cq19,Mode of rubbish/garbage disposal,int8,"1=Publicly managed refuse area, 2=Rubbish collection service, 3=Thrown in bushes or fields, 4=Dumped in reiver or lake, 5=Burnt …",8,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,"s5cq19_v2 (EICV7_CS), s5cq19_v3 (EICV3)",,"{""4"": [""Dumped in reiver or lake"", ""Dumped in river or lake""]}"
s5cq20,Type of toilet household use,int8,"1=Flush toilet, 2=Pit latrine with solid slab, 3=Pit latrine without slab, 4=Other, 5=No toilet whatsever …",6,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,s5cq20_v2 (EICV7_CS),EICV4_CS: Type of toilet,"{""5"": [""No toilet whatsever"", ""No toilet whatsoever""]}"
s5cq21,The toilet facility shared with another household,int8,"1=Yes, 2=No, 9=Missing",3,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,s5cq21_v2 (EICV7_CS),EICV4_CS: Toilet facility shared with another household,
s5cq22,Problems of environmental destruction in the previous 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,,EICV4_CS: Dwelling affected by environmental destruction in ,
s5cq23_v3,[EICV4_CS..EICV4_CS version] Main environmental problem experienced with dwellin,int8,"1=Floods, 2=Mountain slides, 3=Destructive rains, 4=Other, 9=Missing",5,"household (housing, services)",0,0,0,2965,0,0,,"s5cq23 (EICV7_CS), s5cq23_v2 (EICV5_CS)",,
s5cq24,Received any environmental information in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,s5cq24_v2 (EICV7_CS),EICV4_CS: Received any environmental information in last 12 ,
s5cq25,Main source of information on environmental issues,int8,"1=Meetings/Trainings, 2=School, 3=Radio/tv, 4=Other type of media, 5=Others _Specify_ …",6,"household (housing, services)",0,0,0,12227,11908,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,s5cq25_v2 (EICV7_CS),EICV4_CS: Main source of info on environmental issues,"{""1"": [""Meetings/Training"", ""Meetings/Trainings""], ""5"": [""Others (Specify)"", ""Others _Specify_""]}"
s5cq26,Internet connection _including on a mobile phone/or mobile modem_,int8,"1=Yes, 2=No, 9=Missing",3,"household (housing, services)",0,0,0,14419,14580,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,s5cq26_v2 (EICV7_CS),EICV4_CS: Have Internet connection,
s5cq27,Main kind of internet connection used by household members,int8,"1=Landline/LAN, 2=Modem, 3=Mobile phone, 4=Wireless, 5=Other …",6,"household (housing, services)",0,0,0,1286,2420,0,EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household,s5cq27_v2 (EICV7_CS),EICV4_CS: Main kind of internet connection used,
member_v3,[EICV4_CS..EICV4_CS version] (sum) member,int8,,0,,0,0,0,14419,0,0,,"member (EICV3, EICV7_CS), member_v2 (EICV5_CS)",,
ae_v2,[EICV4_CS..EICV4_CS version] (sum) ae,double,,0,,0,0,0,14419,0,0,,"ae (EICV3, EICV5_CS, EICV7_CS)",,
region_eicv4_poverty_file,,int8,,0,,0,0,0,14419,0,0,,,,
food,Total food expenditures,double,,0,,0,0,0,14419,14580,15054,EICV4_CS: module eicv4_poverty_file; EICV5_CS: module eicv5_poverty_file; EICV7_CS: module eicv7_poverty_file,,EICV4_CS: food consumption; EICV5_CS: food consumption,
foodshare1,Share of food in total household consumption,double,,0,,0,0,0,14419,14580,0,EICV4_CS: module eicv4_poverty_file; EICV5_CS: module eicv5_poverty_file,,,
sol,aggregate consumption/ae in Jan14 Prices,double,,0,,0,0,0,14419,0,0,EICV4_CS: module eicv4_poverty_file,,,
epov,Extreme poverty Headcount Ratio,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module eicv4_poverty_file,,,
pov,Total Poverty Headcount Ratio,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module eicv4_poverty_file,,,
qcons,Deciles of total consumption (sol1),int8,,0,,0,0,0,14419,0,0,EICV4_CS: module eicv4_poverty_file,,,
