variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
s9cq2_v2,[EICV4_CS..EICV4_CS version] HH live in a VUP support sector,int8,"1=Yes, 2=No, 8=Don't Know, 9=Missing",4,"household (transfers, VUP, other income)",0,0,0,14419,0,0,,s9cq2 (EICV5_CS),,
s9cq3_v2,[EICV4_CS..EICV4_CS version] HH has ever enrolled in VUP,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,14419,0,0,,s9cq3 (EICV5_CS),,
s9cq4,Year HH started to benefit from VUP,int8,"0=Not yet started to benefit, 1=2014, 2=2013, 3=2012, 4=2011 …",10,"household (transfers, VUP, other income)",0,0,0,1618,0,0,EICV4_CS: module s9c_vup,,,
s9cq5_v2,[EICV4_CS..EICV4_CS version] Type VUP program when first started,int8,"1=Direct support, 2=Public works, 3=Financial Service Loan, 9=Missing",4,"household (transfers, VUP, other income)",0,0,0,1607,0,0,,s9cq5 (EICV5_CS),,
s9cq6_v2,[EICV4_CS..EICV4_CS version] HH currently benefits from VUP,int8,"1=Yes, 2=No, 9=Missing value",3,"household (transfers, VUP, other income)",0,0,0,1607,0,0,,s9cq6 (EICV5_CS),,
s9cq7_v2,[EICV4_CS..EICV4_CS version] Reason HH no longer benefits from VUP,int8,"0=Paid off VUP, 1=Moved to higher Ubedehe category, 2=Found another job, 3=Did not participate in training, 4=Forced to leave …",11,"household (transfers, VUP, other income)",0,0,0,970,0,0,,s9cq7 (EICV5_CS),,
s9cq8_v2,[EICV4_CS..EICV4_CS version] Type of VUP currently receiving,int8,"1=Direct Support only, 2=Direct Support plus Financial Services, 3=Public Works only, 4=Public Works and Financial Services, 5=Financial services loan Only …",6,"household (transfers, VUP, other income)",0,0,0,637,0,0,,s9cq8 (EICV5_CS),,
s9cq9_v2,[EICV4_CS..EICV4_CS version] Period HH receives direct support,int8,999=Missing,1,"household (transfers, VUP, other income)",0,0,0,229,0,0,,s9cq9 (EICV5_CS),,
s9cq10_v2,[EICV4_CS..EICV4_CS version] Receive direct support payments on time,int8,"1=Yes every month, 2=No, between one and 30 days late, 3=No, more than 30 days late, 9=Missing",4,"household (transfers, VUP, other income)",0,0,0,229,0,0,,s9cq10 (EICV5_CS),,
s9cq11_v2,[EICV4_CS..EICV4_CS version] Average amount received from direct support per mon,int32,999999999=Missing,1,"household (transfers, VUP, other income)",0,0,0,229,0,0,,s9cq11 (EICV5_CS),,
s9cq12_v2,[EICV4_CS..EICV4_CS version] Amount household received in the last 12 months,int32,999999999=Missing,1,"household (transfers, VUP, other income)",0,0,0,229,0,0,,s9cq12 (EICV5_CS),,
s9cq13,Able to invest direct support benefit in asset,int8,"1=To buy home utensils (except food and clothing), 2=Durable assets, 3=Education, 4=Health/medical, 5=Buy animals …",11,"household (transfers, VUP, other income)",0,0,0,229,0,0,EICV4_CS: module s9c_vup,,,
s9cq14,Period involved in public works,int8,999=Missing,1,"household (transfers, VUP, other income)",0,0,0,245,0,0,EICV4_CS: module s9c_vup,,,
s9cq15,Number HH members worked in PWs in last 12 months,int8,99=Missing,1,"household (transfers, VUP, other income)",0,0,0,245,0,0,EICV4_CS: module s9c_vup,,,
s9cq16,Number of months worked in PWs over last 12 months,int8,999=Missing,1,"household (transfers, VUP, other income)",0,0,0,245,0,0,EICV4_CS: module s9c_vup,,,
s9cq17,Payment to all HH members over the last 12 months,int32,999999999=Missing,1,"household (transfers, VUP, other income)",0,0,0,245,0,0,EICV4_CS: module s9c_vup,,,
s9cq18,Receive PWs payments on time,int8,"1=Yes, every 15 days, 2=No, between 15 days and one month, 3=No, more than one month, 9=Missing",4,"household (transfers, VUP, other income)",0,0,0,245,0,0,EICV4_CS: module s9c_vup,,,
s9cq19,Able to invest public works pay in asset,int8,"1=To buy home utensils, 2=Durable assets, 3=Education, 4=Health/medical, 5=Buy animals …",11,"household (transfers, VUP, other income)",0,0,0,245,0,0,EICV4_CS: module s9c_vup,,,
s9cq20,Some members benefited from financial services loan,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,666,0,0,EICV4_CS: module s9c_vup,,,
s9cq30,HH ever benefited from RSSP,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
s9cq31a,RSSP - Cooperatives,int8,"1=Yes, 2=No, 9=Missing value",3,"household (transfers, VUP, other income)",0,0,0,731,0,0,EICV4_CS: module s9c_vup,,,
s9cq31b,RSSP - Access to credit,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,731,0,0,EICV4_CS: module s9c_vup,,,
s9cq31c,RSSP - Training,int8,"1=Yes, 2=No, 9=Missing value",3,"household (transfers, VUP, other income)",0,0,0,731,0,0,EICV4_CS: module s9c_vup,,,
s9cq31d,RSSP - Swamp or marshland rehabilitation,int8,"1=Yes, 2=No, 9=Missing value",3,"household (transfers, VUP, other income)",0,0,0,731,0,0,EICV4_CS: module s9c_vup,,,
s9cq31e,RSSP - Construction of market,int8,"1=Yes, 2=No, 9=Missing value",3,"household (transfers, VUP, other income)",0,0,0,731,0,0,EICV4_CS: module s9c_vup,,,
s9cq31f,RSSP - Others,int8,"1=Yes, 2=No, 9=Missing value",3,"household (transfers, VUP, other income)",0,0,0,731,0,0,EICV4_CS: module s9c_vup,,,
hhtype_s9c_vup,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
rwanda_s9c_vup,All Rwanda,int8,1=All Rwanda,1,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
surveyh_s9c_vup,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
quintile_s9c_vup,QUINTILE,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
poverty_s9c_vup,POVERTY,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
s0q19m_s9c_vup,Month of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
s0q19y_s9c_vup,Year of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,,0,0,0,0,14580,15054,EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s5aq8_v3,[EICV5_CS..EICV5_CS version] Household lived in other dwellings before occupying,int8,"1=Yes, 2=No",2,"household (housing, services)",0,0,0,0,14580,0,,"s5aq8 (EICV3, EICV4_CS), s5aq8_v2 (EICV7_CS), s5aq8_v4 (EICV2)",,
s5cq2_v2,[EICV5_CS..EICV5_CS version] Distance in meters between your dwelling and this s,int16,,0,"household (housing, services)",0,0,0,0,13237,0,,"s5cq2 (EICV3, EICV4_CS)",,
s5cq16a1,Source of electricity that you mostly used in your household,int8,"1=National Grid Connection, 2=Local Mini Grid, 3=Diesel Generator, 4=Solar Home System, 5=Solar Lantern …",8,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq16a21,The supplier of this solar Home system/solar lantern,int8,"1=Mobisol Rwanda Ltd, 2=Nots Impact Enterprise, 3=Ignite power limited, 4=Waka waka Rwanda, 5=Solar Kiosk …",22,"household (housing, services)",0,0,0,0,1145,0,EICV5_CS: module s0_s5_household,,,
s5cq16a22,Model of this solar Home system/solar lantern,int8,"1=AEG International GoSol Firefly 12, 2=Anji Da Sol SSL 200, 3=Azuri Indigo Duo Solar Home System, 4=Barefoot Firefly Mobile Lamp _Gen. 2.5_, 5=Barefoot Connect 600 …",68,"household (housing, services)",0,0,0,0,1145,0,EICV5_CS: module s0_s5_household,,,
s5cq16a3,charge mobile phones everyday with electricity,int8,"1=Yes, partial charge, 2=Yes,  full charge, 3=No, 4=No mobile phones",4,"household (housing, services)",0,0,0,0,4802,0,EICV5_CS: module s0_s5_household,,,
s5cq16a4,Pay electricity for system said,int8,"1=EUCL, 2=IPP, 3=No one, 4=Other, specify",4,"household (housing, services)",0,0,0,0,4802,0,EICV5_CS: module s0_s5_household,,,
s5cq16a5,Electricity availability each day and night during last 7 days,double,888=Don't know,1,"household (housing, services)",0,0,0,0,3602,0,EICV5_CS: module s0_s5_household,,,
s5cq16a6,Electricity availability each evening during last 7 days,double,"1=1 Hour, 2=2 hours, 3=3 hours, 4=4 hours, 888=Don't know",5,"household (housing, services)",0,0,0,0,3602,0,EICV5_CS: module s0_s5_household,,,
s5cq16a7,Are the hours of supply in 16.A5 more than 16 hours and are the hours of supply,int8,"1=Yes, 2=No",2,"household (housing, services)",0,0,0,0,3602,0,EICV5_CS: module s0_s5_household,,,
s5cq16a8,many outages/ blackouts of National Grid Connection / Local Mini Grid happen,int16,888=Don't know,1,"household (housing, services)",0,0,0,0,1867,0,EICV5_CS: module s0_s5_household,,,
s5cq16a9,Total duration of all the outages/ blackouts,int16,"801=More than 800, 888=Don't know",2,"household (housing, services)",0,0,0,0,1867,0,EICV5_CS: module s0_s5_household,,,
s5cq16a10,Are any appliances get damaded during last 12 months ?,int8,"1=Yes, 2=No",2,"household (housing, services)",0,0,0,0,3602,0,EICV5_CS: module s0_s5_household,,,
s5cq16a11,did any household members died because of electricity ?,int8,"1=Yes, 2=No",2,"household (housing, services)",0,0,0,0,3602,0,EICV5_CS: module s0_s5_household,,,
s5cq18b1,Respondent ID,int8,,0,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq18b2,Type of cooking stove,int8,"1=Three stone / fire stove, 2=Other Self-Built   Stove, 3=Manufactured Stove, 4=Charcoal/fire stove, 5=Efficient cookstove _Rondereza_ …",6,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq18b32,Model of  cooking stove,int8,"1=Fixed improved mud stove, 2= Improved wood stove, 3=Single pot metal charcoal stove, 4=Mud stove, 5=Multi pot metal charcoal stove …",16,"household (housing, services)",0,0,0,0,2039,0,EICV5_CS: module s0_s5_household,,,
s5cq18b4,Value of cooking stove,int32,88888888=Don't know,1,"household (housing, services)",0,0,0,0,6524,0,EICV5_CS: module s0_s5_household,,,
s5cq18b5,Cooking stove installed area,int8,"1=In dwelling, NOT in sleeping are, 2=In dwelling, in a sleeping area, 3=In a separate Dwelling, 4=In a veranda _roofed platform with at least two open sides, 5=Outdoors …",6,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq18b6,"Use a chimney, hood or other exhaust system while using stove",int8,"1=Yes, 2=No",2,"household (housing, services)",0,0,0,0,11890,0,EICV5_CS: module s0_s5_household,,,
s5cq18b71,Two main fuels you used on this cook stove during last 12 months_most used,int8,"1=Kerosene, 2=Charcoal, 3=Wood, 4=Solar, 5=Animal Waste/ Dung …",13,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq18b72,Two main fuels you used on this cook stove during last 12 months_second most use,int8,"1=Kerosene, 2=Charcoal, 3=Wood, 4=Solar, 5=Animal Waste/ Dung …",14,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq18b8a,Amount spend for cooking fuel during last month,int32,888888=Don't kwon,1,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq18b8b,Amount spend for cooking fuel during last month,int32,888888=Don't kwon,1,"household (housing, services)",0,0,0,0,2597,0,EICV5_CS: module s0_s5_household,,,
s5cq18b91,Two main harm / injury happened from cooking stove_Most_,int8,"1=Death, 2=Permanent physical damage to any person in the household, 3=Burns/fire/poisoning, 4=Severe cough/respiratory problem, 5=Fire with no injury …",7,"household (housing, services)",0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s5cq18b92,Two main harm / injury happened from cooking stove _second most_,int8,"1=Death, 2=Permanent physical damage to any person in the household, 3=Burns/fire/poisoning, 4=Severe cough/respiratory problem, 5=Fire with no injury …",7,"household (housing, services)",0,0,0,0,2337,0,EICV5_CS: module s0_s5_household,,,
s5cq23_v2,[EICV5_CS..EICV5_CS version] Major environmental destruction related problems fa,int8,"1=Floods, 2=Mountain slides, 3=Destructive rains, 4=Other",4,"household (housing, services)",0,0,0,0,2012,0,,"s5cq23 (EICV7_CS), s5cq23_v3 (EICV4_CS)",,
s5eq1,Unsual negative situation  affected household,int8,"1=Yes, 2=No",2,"EICV5_CS: household (housing, services); EICV7_CS: household (housing, shocks, services)",0,0,0,0,14580,15054,EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,EICV5_CS: Unsual situation  affected household,
s5eq21,Main problems affecting your household during the last 12 months_1st  severe sho,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=LandslidesÂ andÂ Mudslides, 4=UnusuallyÂ highÂ level of crop pests & disease, 5=Unusually high level of Livestock diseases …",13,"household (housing, services)",0,0,0,0,5320,0,EICV5_CS: module s0_s5_household,,,
s5eq22,Main problems affecting your household during the last 12 months_2nd  severe sho,int8,"0=None, 1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=LandslidesÂ andÂ Mudslides, 4=UnusuallyÂ highÂ level of crop pests & disease …",14,"household (housing, services)",0,0,0,0,5320,0,EICV5_CS: module s0_s5_household,,,
s5eq3a,What did the household do to compensate for the consequences of the chock in the,int8,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery), 2=Reduced expenditure on food, 3=Reduced necessary expenditure on health and education, 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car, 5=Used up savings) …",22,"EICV5_CS: household (housing, services); EICV7_CS: household (housing, shocks, services)",0,0,0,0,5320,5409,EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,EICV5_CS: Compensate for the consequences of the chock in th,"{""1"": [""Sold household goods (radio, furniture, refrigerator, television, jewellery)"", ""Sold household goods _radio, furniture, refrigerator, television, jewellery""], ""4"": [""Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car"", ""Sold productive assets or means of transport _sewing machine, wheelbarrow, bicycle, car""], ""5"": [""Used up savings"", ""Used up savings)""], ""10"": [""Sold more animals (non - productive) than usual"", ""Sold more animals _non - productive_ than usual""], ""15"": [""Other_specify_"", ""Received help from religious institution""]}"
s5eq3b,What did the household do to compensate for the consequences of the chock in the,int8,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery), 2=Reduced expenditure on food, 3=Reduced necessary expenditure on health and education, 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car, 5=Used up savings) …",22,"EICV5_CS: household (housing, services); EICV7_CS: household (housing, shocks, services)",0,0,0,0,1818,1381,EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,EICV5_CS: Compensate for the consequences of the chock in th,"{""1"": [""Sold household goods (radio, furniture, refrigerator, television, jewellery)"", ""Sold household goods _radio, furniture, refrigerator, television, jewellery""], ""4"": [""Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car"", ""Sold productive assets or means of transport _sewing machine, wheelbarrow, bicycle, car""], ""5"": [""Used up savings"", ""Used up savings)""], ""10"": [""Sold more animals (non - productive) than usual"", ""Sold more animals _non - productive_ than usual""], ""15"": [""Other_specify_"", ""Received help from religious institution""]}"
s0q18m,Month of interview,int8,,0,,0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
s0q18y,Year of interview,int16,,0,,0,0,0,0,14580,0,EICV5_CS: module s0_s5_household,,,
member_v2,[EICV5_CS..EICV5_CS version] Household size,int8,,0,,0,0,0,0,14580,0,,"member (EICV3, EICV7_CS), member_v3 (EICV4_CS)",,
membernos,Household size Excluding servants,int8,,0,,0,0,0,0,14580,0,EICV5_CS: module eicv5_poverty_file,,,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,,0,0,0,0,14580,15054,EICV5_CS: module eicv5_poverty_file; EICV7_CS: module s01_s5_s7_household,,EICV5_CS: Extreme poverty Headcount Ratio,"{""0"": [""Non Extreme Poor"", ""Non-Extreme-Poor""], ""100"": [""Extreme Poor"", ""Extreme-Poor""]}"
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,,0,0,0,0,14580,15054,EICV5_CS: module eicv5_poverty_file; EICV7_CS: module s01_s5_s7_household,,,
decile,Deciles of total consumption (sol_jan),int8,,0,,0,0,0,0,14580,0,EICV5_CS: module eicv5_poverty_file,,,
poverty_s10a1_credits,Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,,0,0,0,0,14580,0,EICV5_CS: module s10a1_credits,poverty_s10a1_credits_v2 (EICV4_CS),,
s10aq1,Household member tried to obtain a loan,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",0,0,0,0,14580,0,EICV5_CS: module s10a1_credits,s10aq1_v2 (EICV4_CS),,
s10aq3,Household members owe money,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",0,0,0,0,14580,0,EICV5_CS: module s10a1_credits,s10aq3_v2 (EICV4_CS),,
poverty_s7a2_livestock,Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,,0,0,0,0,8963,0,EICV5_CS: module s7a2_livestock,poverty_s7a2_livestock_v2 (EICV4_CS),,
poverty_s7b1_land_agriculture,Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,,0,0,0,0,14579,0,EICV5_CS: module s7b1_land_agriculture,poverty_s7b1_land_agricultur_v2 (EICV4_CS),,
region_s9c_vup_ubudehe_and_rssp_,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,,0,0,0,0,14572,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
poverty_s9c_vup_ubudehe_and_rssp,Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,,0,0,0,0,14572,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq2,Household ever received any income /Loan  from VUP,int8,"1=Yes in the past  but not now, 2=Currently VUP beneficiary, 3=Currently Eligible but not yet benefiting, 4=No, never",4,"household (transfers, VUP, other income)",0,0,0,0,14572,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq2_v2 (EICV4_CS),,
s9cq3,Many months have you been on the eligibility list and waiting to benefit from VU,int8,,0,"household (transfers, VUP, other income)",0,0,0,0,38,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq3_v2 (EICV4_CS),,
s9cq4a,Specify the VUP programmes that your HH benefitted  in year 2008,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4b,Specify the VUP programmes that your HH benefitted  in year 2009,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4c,Specify the VUP programmes that your HH benefitted  in year 2010,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4d,Specify the VUP programmes that your HH benefitted  in year 2011,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4e,Specify the VUP programmes that your HH benefitted  in year 2012,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4f,Specify the VUP programmes that your HH benefitted  in year 2013,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4g,Specify the VUP programmes that your HH benefitted  in year 2014,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4h,Specify the VUP programmes that your HH benefitted  in year 2015,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4i,Specify the VUP programmes that your HH benefitted  in year 2016,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,845,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4j,Specify the VUP programmes that your HH benefitted  in year 2017,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,"household (transfers, VUP, other income)",0,0,0,0,697,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq5,Why is your household no longer benefit from the VUP program?,int8,"1=Moved to a higher Ubudehe category, 2=We did not participate in training, 3=We are supported by other organizations/programs, 4=We found other sources of income, 5=The daily wages are too low [PW only] …",13,"household (transfers, VUP, other income)",0,0,0,0,938,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq5_v2 (EICV4_CS),,
s9cq6,How do you usually receive your Direct Support payment?,int8,"1=Umurenge SACCO, 2=Other MFI, 3=Other, specify",3,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq6_v2 (EICV4_CS),,
s9cq7,Period when received your direct support payments,int8,"1=Yes every month, 2=No, between one and 30 days late, 3=No, more than 30 days late",3,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq7_v2 (EICV4_CS),,
s9cq8,Average amount household received at the last Direct Support payment,int32,,0,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq8_v2 (EICV4_CS),,
s9cq9,What you usually receive?,int8,"1=It is more, 2=It is the same, 3=It is less",3,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq9_v2 (EICV4_CS),,
s9cq10,Average amount  informed to get in every month from VUP Ds?,int32,8=Don't know,1,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq10_v2 (EICV4_CS),,
s9cq11,Direct Support payments received over the past 12 months,int8,,0,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq11_v2 (EICV4_CS),,
s9cq12,Why have you not received 12 payments?,int8,"1=New beneficiary, 2=Payment was delayed, 3=Other, Specify",3,"household (transfers, VUP, other income)",0,0,0,0,272,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,s9cq12_v2 (EICV4_CS),,
s9cq13a,Invest your direct support benefits in some assets:- to buy food,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13b,Invest your direct support benefits in some assets:- Clothes,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13c,Invest your direct support benefits in some assets:- to buy home utensils,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13d,Invest your direct support benefits in some assets:- Durable asset,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13e,Invest your direct support benefits in some assets:- Education,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13f,Invest your direct support benefits in some assets:- Health/medical,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13g,Invest your direct support benefits in some assets:- to buy animals,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13h,Invest your direct support benefits in some assets:- Farm,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13i,Invest your direct support benefits in some assets:- Business or income generati,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13j,Invest your direct support benefits in some assets:- Improve house,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13k,Invest your direct support benefits in some assets:- Saving,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13l,Invest your direct support benefits in some assets:- Other specify_,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,343,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q45,Rural sector support project _RSSP_,int8,"1=yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,14572,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46a,Forming cooperatives to carry out profit earning projects,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,398,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46b,Access to credit subsidized by RIF,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,398,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46c,Training,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,398,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46d,Swamp or marshland rehabilitation,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,398,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
