variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s8a3q5,Visit 3,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,533466,90983,539460,60828,0,0,,"s8a3q5_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Visit 4; EICV4_VUP: Visit 4,
s8a3q6,Visit 4,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,533392,90983,539460,60828,0,0,,"s8a3q6_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Visit 5; EICV4_VUP: Visit 5,
s8a3q7,Visit 5,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,533281,90983,539460,60828,0,0,,,EICV4_CS: Visit 6; EICV4_VUP: Visit 6,
s8a3q8,Visit 6,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,533059,90983,539460,60828,0,0,,,EICV4_CS: Visit 7; EICV4_VUP: Visit 7,
s8a3q9,Visit 7,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,532911,90983,539460,60828,0,0,,,EICV4_CS: Visit 8; EICV4_VUP: Visit 8,
s8a3q10,Visit 8,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,50283,19980,539460,60828,0,0,,,EICV4_CS: Visit 9; EICV4_VUP: Visit 9,
s8a3q11,Visit 9,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,50246,19943,539460,60828,0,0,,,EICV4_CS: Visit 10; EICV4_VUP: Visit 10,
s8a3q12,Visit 10,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,50209,19943,539460,60828,0,0,,,EICV4_CS: Visit 11; EICV4_VUP: Visit 11,
s8a3q13_v2,[EICV4_CS..EICV4_VUP version] Where do you buy it most often,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",12,household (expenditure and own consumption),0,0,533503,91020,0,0,0,0,,"s8a3q13 (EICV5_CS, EICV5_VUP)",,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,household (expenditure and own consumption),0,0,533503,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,household (expenditure and own consumption),0,0,533503,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,household (expenditure and own consumption),0,0,533503,91020,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,household (expenditure and own consumption),0,0,533503,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,533503,91020,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,household (expenditure and own consumption),0,0,533503,91020,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,household (expenditure and own consumption),0,0,0,91020,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,EICV5_CS: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),0,0,0,0,539460,0,346220,86623,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s8a3q3,Amount spent to purchase  in last 7 days,int32,,0,EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),0,0,0,0,539460,60828,53291,11480,,"s8a3q3_v2 (EICV4_CS, EICV4_VUP)",EICV5_CS: Amount spent over the last 7 days; EICV5_VUP: Amount spent over the last 7 days,
s8a3q13,Visit 11,int32,0=None,1,household (expenditure and own consumption),0,0,0,0,539460,60828,0,0,,"s8a3q13_v2 (EICV4_CS, EICV4_VUP)",,
s8a3q14,Place of purchase,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (expenditure and own consumption),0,0,0,0,151296,17476,0,0,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,household (expenditure and own consumption),0,0,0,0,0,60828,0,0,,,,
s0q18m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,0,0,0,60828,0,0,,,,
s0q18y,Year of interview,int16,,0,household (expenditure and own consumption),0,0,0,0,0,60828,0,0,,,,
s8a3q0_v2,[EICV7_CS..EICV7_VUP version] Items,int8,"1=Laundry soap, 2=Bath soap, 3=Other soaps and Detergents, 4=Insecticides/ Other mosquito repellant, 5=Toilet paper …",23,household (consumption by source),0,0,0,0,0,0,346219,86618,,"s8a3q0 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s8a3q2_v2,[EICV7_CS..EICV7_VUP version] Article purchased over past 7 days,int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,346220,86623,,"s8a3q2 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s8a3q4_v2,[EICV7_CS..EICV7_VUP version] Place where  purchased in the last 7 days,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (consumption by source),0,0,0,0,0,0,53304,11481,,"s8a3q4 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s8a3q5_v2,[EICV7_CS..EICV7_VUP version] Article received as Gifts and In-kind,int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,346220,86623,,"s8a3q5 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s8a3q6_v2,[EICV7_CS..EICV7_VUP version] Household acquire from other sources item over pas,int32,,0,household (consumption by source),0,0,0,0,0,0,5574,1708,,"s8a3q6 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s08a4_4,Consumed Own Production during the past 7 days,int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,75265,18830,,,,
s08a4_5,Quantity consumed?,double,,0,household (consumption by source),0,0,0,0,0,0,10291,3088,,,,
s08a4_6,Unit of measure (Item),int8,"1=Litter, 2=Kg, 3=Piece",3,household (consumption by source),0,0,0,0,0,0,10399,3089,,,,
s08a4_7,At what price could you sell (Item),int32,,0,household (consumption by source),0,0,0,0,0,0,10283,3086,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,household (consumption by source),0,0,0,0,0,0,346220,86623,,,EICV7_CS: strata_id,
epov_jan,Extreme Poverty,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,household (consumption by source),0,0,0,0,0,0,346220,86623,,,,
pov_jan,Poverty Rate,int8,"0=Non Poor, 100=Poor",2,household (consumption by source),0,0,0,0,0,0,346220,86623,,,,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,household (consumption by source),0,0,0,0,0,0,346220,86623,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
