variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s5eq0d,Basic service description,string,,0,"household (housing, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
s5eq5,Mode of transport to access service,int8,"1=Foot, 2=Bicycle, 3=Motorcycle, 4=Vehicle, 5=Minibus …",8,"household (housing, services)",0,0,132213,22459,0,0,0,0,,"s5eq5_v2 (EICV3), s5eq5_v3 (EICV2)",,
s5eq7,Service quality in last 12 months,int8,"1=Declining, 2=Same, 3=Improving, 8=Don't know, 9=Missing",5,"household (housing, services)",0,0,132213,22459,0,0,0,0,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household (housing, services)",0,0,216285,36900,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household (housing, services)",0,0,216285,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household (housing, services)",0,0,216285,36900,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household (housing, services)",0,0,216285,36900,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household (housing, services)",0,0,0,36900,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,"household (housing, services)",0,0,0,36900,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,"household (housing, services)",0,0,0,36900,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,"EICV5_CS: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,218700,0,225810,56565,,"poverty_v2 (EICV3, EICV4_CS, EICV4_VUP)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
