variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
s2bq9,Post primary instruction,int8,"1=Secondary, 2=Vocational, 3=None",3,0,6521,0,0,0,0,EICV2: module s2_education,s2bq9_v2 (EICV1),,
s2bq10,Highest class attained in secondary school,int8,"30=1st year secondary-unfinished, 31=1st year of secondary, 32=2nd year of secondary, 33=3rd year of secondary, 34=4th year of secondary …",7,0,2761,0,0,0,0,EICV2: module s2_education,s2bq10_v2 (EICV1),,
s2bq11,Repeated secondary class,int8,"1=Yes, 2=No",2,0,2760,0,0,0,0,EICV2: module s2_education,s2bq11_v2 (EICV1),,
s2bq12,Times repeated class (secondary),int8,,0,0,545,0,0,0,0,EICV2: module s2_education,s2bq12_v2 (EICV1),,
s2bq14,Type of secondary school,int8,"1=Public, 2=Private, 3=Free-subsidized",3,0,2760,0,0,0,0,EICV2: module s2_education,s2bq14_v2 (EICV1),,
s2bq15,Attended post primary or professional (vocational) school,int8,"1=Yes, 2=No",2,0,2725,0,0,0,0,EICV2: module s2_education,s2bq15_v2 (EICV1),,
s2bq16,Highest class attained in professional (vocational) school,int8,"20=1st year vocational-unfinished, 21=1st year of vocational, 22=2nd year of vocational, 23=3rd year of vocational, 24=4th year of vocational …",7,0,832,0,0,0,0,EICV2: module s2_education,s2bq16_v2 (EICV1),,
s2bq18,Type of post primary (vocational) school,int8,"1=Public, 2=Private, 3=Free-subsidized",3,0,832,0,0,0,0,EICV2: module s2_education,s2bq18_v2 (EICV1),,
s2bq19,Attended College or University,int8,"1=Yes, 2=No",2,0,2724,0,0,0,0,EICV2: module s2_education,s2bq19_v2 (EICV1),,
s2bq20,Years attended college or university,int8,,0,0,385,0,0,0,0,EICV2: module s2_education,s2bq20_v2 (EICV1),,
s2bq21,Last institution attended,int8,"1=Ordinary college, 2=University, 3=Technical college, 4=Institute, 5=Other",5,0,385,0,0,0,0,EICV2: module s2_education,s2bq21_v2 (EICV1),,
s2bq22,Type of university or college,int8,"1=Public, 2=Private, 3=Free-subsidized",3,0,385,0,0,0,0,EICV2: module s2_education,,,
s2bq23,Highest level diploma received,int8,"6=Bachelors degree, 7=Professional license, 8=Engineer, 9=Masters Degree, 10=Doctorate degree …",6,0,385,0,0,0,0,EICV2: module s2_education,,,
s2cq1,Capable of reading a letter or small note,int8,"1=Yes, 2=No",2,0,24491,0,0,0,0,EICV2: module s2_education,s2cq1_v2 (EICV1),,
s2cq2_v2,[EICV2..EICV2 version] Reading language,int8,"1=Kinyarwanda, 2=Swahili, 3=French, 4=English, 5=Kinyarwanda and Swahili …",15,0,13211,0,0,0,0,,"s2cq2 (EICV3), s2cq2_v3 (EICV1)",,
s2cq3_v2,[EICV2..EICV2 version] Capable of writing a letter or small note,int8,"1=Yes, 2=No",2,0,13211,0,0,0,0,,"s2cq3 (EICV3), s2cq3_v3 (EICV1)",,
s2cq4_v2,[EICV2..EICV2 version] Writing language,int8,"1=Kinyarwanda, 2=Swahili, 3=French, 4=English, 5=Kinyarwanda and Swahili …",15,0,12350,0,0,0,0,,"s2cq4 (EICV3), s2cq4_v3 (EICV1)",,
s2cq5_v2,[EICV2..EICV2 version] Capable of written calculations,int8,"1=Yes, 2=No",2,0,24489,0,0,0,0,,"s2cq5 (EICV3), s2cq5_v3 (EICV1)",,
s2cq7_v2,[EICV2..EICV2 version] Preferred language for reading,int8,"0=Missing, 1=French, 2=English, 3=French and English, 4=Other",5,0,3527,0,0,0,0,,"s2cq7 (EICV3), s2cq7_v3 (EICV1)",,
s2cq8_v2,[EICV2..EICV2 version] Attended vocational/apprentice courses,int8,"1=Yes, currently, 2=Yes, in the past, 3=No",3,0,28018,0,0,0,0,,s2cq8 (EICV3),,
s2cq9_v2,[EICV2..EICV2 version] Length of time in vocational training,int8,0=Less than 1 month,1,0,2616,0,0,0,0,,"s2cq9 (EICV3), s2cq9_v3 (EICV1)",,
s2cq10,Vocational skill in which trained,int8,"1=Jeweler, 2=Tiling, 3=Calligraphy, 4=Boiler (heater) works, 5=Driver …",36,0,2596,0,0,0,0,EICV2: module s2_education,s2cq10_v2 (EICV1),,
s2cq11,Paid for vocational training,int8,"1=Yes, in-kind, 2=Yes, cash, 3=No",3,0,2602,0,0,0,0,EICV2: module s2_education,s2cq11_v2 (EICV1),,
s2cq12,Attended short term training courses,int8,"1=Yes, 2=No",2,0,28018,0,0,0,0,EICV2: module s2_education,s2cq12_v2 (EICV1),,
s2cq14,Training material related to occupation,int8,"1=Yes, currently, 2=Yes, future, 3=No",3,0,2174,0,0,0,0,EICV2: module s2_education,s2cq14_v2 (EICV1),,
primarylast,Indicator of each last matching case as Primary,int8,"0=Duplicate Case, 1=Primary Case",2,0,28018,0,0,0,0,EICV2: module s2_education,,,
s3aq2_v2,[EICV2..EICV2 version] Suffer from a major disability,int8,"1=No disability, 2=Visual disability, 3=Motion disability, 4=Hearing disability, 5=Psychological problems …",8,0,34676,0,0,0,0,,"s3aq2 (EICV3), s3aq2_v3 (EICV1)",,
s3aq3a,Years disabled,int8,0=Less than a year,1,0,1327,0,0,0,0,EICV2: module s3_health,,,
s3aq3b,Months disabled,int8,0=Less than a month,1,0,1326,0,0,0,0,EICV2: module s3_health,,,
s3aq4,Cause of disability,int8,"1=Illness, 2=Accident, 3=War, 4=Genocide, 5=Land mine …",8,0,1307,2743,0,0,0,EICV2: module s3_health,s3aq4_v2 (EICV1),,"{""1"": [""Congenital"", ""Illness""], ""2"": [""Accident"", ""Sickness""], ""3"": [""Accident"", ""War""], ""4"": [""Genocide"", ""War""], ""5"": [""Genocide"", ""Land mine""], ""6"": [""Age"", ""Mine""], ""8"": [""Do not know"", ""Don't know""]}"
s3aq5,Health problems in the last 2 weeks,int8,"1=Yes, 2=No",2,0,34671,68398,0,0,0,EICV2: module s3_health,s3aq5_v2 (EICV1),EICV2: Experienced health problems in the last two weeks,
s3aq6,Major health problem,int8,"1=Malaria, 2=Internal parasites, 3=Respiratory infection, 4=Skin issues, 5=Accident of injury …",9,0,6731,11955,0,0,0,EICV2: module s3_health,s3aq6_v2 (EICV1),EICV2: Primary health problem,"{""2"": [""Internal parasites"", ""Intestinal parasites""], ""4"": [""Skin disease"", ""Skin issues""], ""5"": [""Accident of injury"", ""Accident or injury""], ""8"": [""Gynecological"", ""Gynecological problem""]}"
s3aq7a,Time suffering from health condition (years),int8,,0,0,6742,0,0,0,0,EICV2: module s3_health,,,
s3aq7b,Time suffering from health condition (months),int8,0=Less than one year,1,0,6736,0,0,0,0,EICV2: module s3_health,,,
s3aq8_v2,[EICV2..EICV2 version] Immobilized due to health condition in the last two week,int8,"1=Yes, 2=No",2,0,6725,0,0,0,0,,"s3aq8 (EICV3), s3aq8_v3 (EICV1)",,
s3aq9_v2,[EICV2..EICV2 version] Number of days immobilized by health condition,int8,,0,0,4850,0,0,0,0,,"s3aq9 (EICV3), s3aq9_v3 (EICV1)",,
s3aq10,Health insurance,int8,"1=RAMA, 2=Mutual insurance, 3=Employer, 4=MMI, 5=Other insurance …",6,0,34661,68398,0,0,0,EICV2: module s3_health,s3aq10_v2 (EICV1),EICV2: Beneficiary of heath insurance,"{""1"": [""RAMA"", ""Rwandan National Insurance (RAMA)""], ""4"": [""MMI"", ""Other insurance""], ""5"": [""No"", ""Other insurance""]}"
s3aq11_v2,[EICV2..EICV2 version] Consulted a physician (health care worker) in the last t,int8,"1=Yes, 2=No, 3=Don't know",3,0,34672,0,0,0,0,,"s3aq11 (EICV3), s3aq11_v3 (EICV1)",,
s3aq13,Person consulted,int8,"1=Doctor, 2=Nurse, 3=Pharmacist, 4=Mid-wife, 5=Community health worker …",10,0,2255,5038,0,0,0,EICV2: module s3_health,s3aq13_v2 (EICV1),,"{""4"": [""Mid-wife"", ""Midwife""], ""5"": [""Community health worker"", ""Healthcare worker""], ""6"": [""Traditional birthing"", ""Tradutional birthing worker""], ""8"": [""Optician"", ""Other""]}"
s3aq14,Place of consultation,int8,"1=Consultant's home, 2=Patient's home, 3=Hosiptal, 4=Pharmacy, 5=Clinic …",8,0,2256,5038,0,0,0,EICV2: module s3_health,s3aq14_v2 (EICV1),,"{""1"": [""Consultant's home"", ""Consultants home""], ""3"": [""Hosiptal"", ""Hospital""], ""7"": [""Health care center"", ""Health care centre""]}"
s3aq15_v2,[EICV2..EICV2 version] Public or private establishment,int8,"1=Public, 2=Private, 3=Semi private",3,0,2256,0,0,0,0,,s3aq15 (EICV3),,
s3aq16,Amount paid for consultation by patient,int32,0=Zero,1,0,2250,3926,0,0,0,EICV2: module s3_health,s3aq16_v2 (EICV1),EICV2: Amount paid for the consultation,
s3aq17,Amount paid for consultation by insurance or employer,int32,0=Zero,1,0,1215,4359,0,0,0,EICV2: module s3_health,s3aq17_v2 (EICV1),EICV2: Amount paid for consultation by health insurance o,
s3aq18,Medical examination or tests in the last 2 weeks,int8,"1=Yes, 2=No, 3=Do not know",3,0,34644,68398,0,0,0,EICV2: module s3_health,s3aq18_v2 (EICV1),EICV2: Undertake medical tests in the last two weeks,"{""3"": [""Do not know"", ""Don't know""]}"
s3aq19,Amount paid or to pay for examinations by patient,int32,0=Zero,1,0,1014,1849,0,0,0,EICV2: module s3_health,s3aq19_v2 (EICV1),EICV2: Amount paid for health exams,
s3aq20,Amount paid for medical examination by insurance or employer,int32,0=Zero,1,0,575,2206,0,0,0,EICV2: module s3_health,s3aq20_v2 (EICV1),EICV2: Amount paid for health exams by health insurance o,
s3aq21_v2,[EICV2..EICV2 version] Hospitalized in the last two weeks,int8,"1=Yes, 2=No, 3=Don't know",3,0,34645,0,0,0,0,,"s3aq21 (EICV3), s3aq21_v3 (EICV1)",,
s3aq22,Amount paid or to pay for medical services by patient,int32,0=Zero,1,0,133,289,0,0,0,EICV2: module s3_health,s3aq22_v2 (EICV1),EICV2: Amount paid for hospitalization,
s3aq23,Amount paid or to pay for medical services by insurance or employer,int32,0=Zero,1,0,67,252,0,0,0,EICV2: module s3_health,s3aq23_v2 (EICV1),EICV2: Amount paid for hospitalization by insurance or em,
s3aq24_v2,[EICV2..EICV2 version] Purchased medication or other health related items,int8,"1=Yes, 2=No, 3=Don't know",3,0,34646,0,0,0,0,,"s3aq24 (EICV3), s3aq24_v3 (EICV1)",,
s3aq25,Amount paid or to  be paid for medicines and medical supplies by patient,int32,0=Zero,1,0,3308,4822,0,0,0,EICV2: module s3_health,s3aq25_v2 (EICV1),EICV2: Amount paid for medication and supplies,
s3aq26,Amount paid for medicines  by insurance or employer,int32,0=Zero,1,0,1338,4369,0,0,0,EICV2: module s3_health,,EICV2: Amount paid for medication by insurance or employe,
s3aq27_v2,[EICV2..EICV2 version] Amount paid for transportation related to health care,int32,0=Zero,1,0,34646,0,0,0,0,,s3aq27 (EICV3),,
s3bq3a,Live births: Boys,int8,,0,0,5180,0,0,0,0,EICV2: module s3_health,,,
s3bq3b,Live births: Girls,int8,,0,0,5180,0,0,0,0,EICV2: module s3_health,,,
s3bq4a_v2,[EICV2..EICV2 version] Children still living: Boys,int8,,0,0,5180,0,0,0,0,,"s3bq4a (EICV3), s3bq4a_v3 (EICV1)",,
s3bq4b_v2,[EICV2..EICV2 version] Children still living: Girls,int8,,0,0,5180,0,0,0,0,,"s3bq4b (EICV3), s3bq4b_v3 (EICV1)",,
s3bq5,Ever had No-live birth,int8,"1=Yes, 2=No",2,0,5180,0,0,0,0,EICV2: module s3_health,,,
s3bq6_v2,[EICV2..EICV2 version] Number of No-living births,int8,,0,0,1349,0,0,0,0,,"s3bq6 (EICV3), s3bq6_v3 (EICV1)",,
s3bq7_v2,[EICV2..EICV2 version] Received prenatal care during last pregnancy,int8,"1=Yes, 2=No",2,0,5174,0,0,0,0,,"s3bq7 (EICV3), s3bq7_v3 (EICV1)",,
s3bq8,Reason not vaccinated,int8,"1=Not informed, 2=Child absent from home, 3=Health centre too far, 4=Lack of money, 5=No vaccines at the clinic …",7,0,264,51,0,0,0,EICV2: module s3_health,s3bq8_v2 (EICV1),EICV2: Reason for not receiving prenatal care,"{""1"": [""Lack of resources"", ""Not informed""], ""2"": [""Child absent from home"", ""No health center""], ""3"": [""Health center too far"", ""Health centre too far""], ""4"": [""Lack of money"", ""Not necessary""], ""5"": [""No vaccines at the clinic"", ""Other""]}"
s3bq9a,First place of prenatal care,int8,"1=Hospital or maternity, 2=Private clinic, 3=Dispensary, 4=Healer, 5=Other",5,0,4899,0,0,0,0,EICV2: module s3_health,,,
s3bq9b,Second place of prenatal care,int8,"1=Hospital or maternity, 2=Private clinic, 3=Dispensary, 4=Healer, 5=Other",5,0,4909,0,0,0,0,EICV2: module s3_health,,,
s3bq10,Use form of birth control,int8,"1=Yes, 2=No",2,0,10299,0,0,0,0,EICV2: module s3_health,s3bq10_v2 (EICV1),,
s3bq11,Method of birth control,int8,"1=Pill, 2=Condom, 3=IUD, 4=Injection, 5=Spermicidal cream …",11,0,1270,0,0,0,0,EICV2: module s3_health,s3bq11_v2 (EICV1),,
s3bq12,Reason for not using birth control,int8,"1=Still want children, 2=Religion, 3=Spousal refusal, 4=Too expensive, 5=Unaware …",11,0,9018,0,0,0,0,EICV2: module s3_health,s3bq12_v2 (EICV1),,
s3cq4a,Recorded vaccine for BCG,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Not applicable",4,0,3929,0,0,0,0,EICV2: module s3_health,s3cq4a_v2 (EICV1),,
s3cq4c,Recorded vaccine for DTC,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Not applicable",4,0,3926,0,0,0,0,EICV2: module s3_health,s3cq4c_v2 (EICV1),,
s3cq4d,Recorded vaccine for measles,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Not applicable",4,0,3924,0,0,0,0,EICV2: module s3_health,s3cq4d_v2 (EICV1),,
s3cq7,Amount paid for the last vaccination,int16,0=Zero,1,0,5808,0,0,0,0,EICV2: module s3_health,s3cq7_v2 (EICV1),,
s3cq8,Reason for not being vaccinated,int8,"1=Not informed, 2=Absent, 3=No health care centre, 4=Centre too far, 5=Lack of money …",8,0,105,0,0,0,0,EICV2: module s3_health,s3cq8_v2 (EICV1),,
s4q1,ID of person interviewed,int8,,0,0,19768,0,0,0,0,EICV2: module s4_migration,,,
s4q2,Always lived in this district,int8,"1=Yes, 2=No",2,0,19769,0,0,0,0,EICV2: module s4_migration,,,
s4q3,Length of stay since last return,int8,0=Less than one year,1,0,10303,0,0,0,0,EICV2: module s4_migration,,,
s4q4,Province or foreign country of previous residence,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",18,0,10303,0,0,0,0,EICV2: module s4_migration,,,
s4q5,Type of place of previous residence,int8,"1=Capital, 2=Large city, 3=City, 4=Rural",4,0,10301,0,0,0,0,EICV2: module s4_migration,,,
s4q6,How long resided there,int8,0=Less than one year,1,0,10301,0,0,0,0,EICV2: module s4_migration,,,
s4q7,Main reason for migration,int8,"1=Assigned to post, 2=Loss of employment, 3=Spouse employment, 4=Marriage, 5=Other family reasons …",13,0,10295,0,0,0,0,EICV2: module s4_migration,,,
s4q8,How many stays greater than six months ever done,int8,,0,0,10303,0,0,0,0,EICV2: module s4_migration,,,
s6aq1_v2,[EICV2..EICV2 version] No I D de la personne interviewée,int8,,0,0,28018,0,0,0,0,,"s6aq1 (EICV3, EICV5_CS)",,
s6aq2_v3,[EICV2..EICV2 version] Worked for wages or salary,int8,"1=Yes, 2=No",2,0,28005,0,0,0,0,,"s6aq2 (EICV5_CS, EICV7_CS), s6aq2_v2 (EICV3, EICV4_CS)",,
s6aq3_v4,[EICV2..EICV2 version] Non-farm economic activity,int8,"1=Yes, 2=No",2,0,28005,0,0,0,0,,"s6aq3 (EICV3, EICV4_CS), s6aq3_v2 (EICV7_CS), s6aq3_v3 (EICV5_CS)",,
s6aq4_v2,[EICV2..EICV7_CS version] Carry out any agricultural activity,int8,"1=Yes, 2=No",2,0,28005,0,0,0,52900,,"s6aq4 (EICV3, EICV4_CS, EICV5_CS)","EICV2: Agricultural activity, fishing or forestry; EICV7_CS: Carry out any agricultural activity",
s6aq5_v3,[EICV2..EICV2 version] Non-compensated work for an enterprise,int8,"1=Yes, 2=No",2,0,28003,0,0,0,0,,"s6aq5 (EICV3, EICV4_CS, EICV5_CS), s6aq5_v2 (EICV7_CS)",,
s6aq6_v4,[EICV2..EICV2 version] Current employment status,int8,"1=Employed, 2=Unemployed, 3=Looking for first employment, 4=Household maintenance, 5=Student …",10,0,27994,0,0,0,0,,"s6aq6 (EICV3, EICV5_CS), s6aq6_v2 (EICV7_CS), s6aq6_v3 (EICV4_CS)",,
s6bq1,Atleast 1 hour work  last 7 days,int8,"1=Yes, 2=No",2,0,27997,56116,0,0,0,EICV2: module s6abc_employment; EICV3: module s06ab_occupation,s6bq1_v2 (EICV7_CS),EICV2: Worked at least one hour in the last seven days,
s6bq2,Reason not worked last 7 days,int8,"1=Temporary absence or sickness, 2=Holiday, 3=No work available, 4=Dimissed or terminated, 5=Student …",7,0,11188,26042,0,0,0,EICV2: module s6abc_employment; EICV3: module s06ab_occupation,s6bq2_v2 (EICV7_CS),EICV2: Reason for not working at least one hour in the la,"{""1"": [""Temporary absence (sick leave, regular leave, etc..)"", ""Temporary absence or sickness""], ""2"": [""Holiday"", ""Work finished""], ""3"": [""Fired"", ""No work available""], ""4"": [""Dimissed or terminated"", ""No work""], ""5"": [""Other"", ""Student""]}"
s6bq3_v3,[EICV2..EICV2 version] Desire other work,int8,"1=Yes, 2=No",2,0,27987,0,0,0,0,,"s6bq3 (EICV7_CS), s6bq3_v2 (EICV3)",,
s6bq4,Reason more employment not needed,int8,"1=Work full time, 2=Satisfied urrent situation, 3=Occupied with domestic duties, 4=Discouraged by failure to secure employment, 5=Family reasons …",11,0,18849,38253,0,0,0,EICV2: module s6abc_employment; EICV3: module s06ab_occupation,s6bq4_v2 (EICV7_CS),EICV2: Reason for not finding other work,"{""1"": [""Full time work"", ""Work full time""], ""2"": [""Currently satisfied"", ""Satisfied urrent situation""], ""3"": [""Occupied with domestic duties"", ""Occupied with household maintenance""], ""4"": [""Discouraged by failure to secure employment"", ""Discouraged, unable to find work""], ""9"": [""Student"", ""Studies""], ""10"": [""Sick or Injured (disabled)"", ""Sickness or incapacitation""]}"
s6bq5_v3,[EICV2..EICV2 version] Time since the last search for work,int8,"1=Last seven days, 2=Between 1-4 weeks, 3=Between 1-3 months, 4=More than three (3) months, 5=Never",5,0,9126,0,0,0,0,,"s6bq5 (EICV7_CS), s6bq5_v2 (EICV3)",,
s6bq6a_v2,[EICV2..EICV2 version] Activity 1 undertaken in search of employment,int8,"1=Asked of a relationship, 2=Contest, 3=Spontaneous requests, 4=Listened to radio announcements, 5=Read published announcements …",7,0,5050,0,0,0,0,,s6bq6a (EICV3),,
s6bq6b_v2,[EICV2..EICV2 version] Activity 2 undertaken in search of employment,int8,"1=Asked of a relationship, 2=Contest, 3=Spontaneous requests, 4=Listened to radio announcements, 5=Read published announcements …",7,0,5204,0,0,0,0,,s6bq6b (EICV3),,
s6bq7,Full-time salaried position ever,int8,"1=Yes, 2=No, 3=No",3,0,27564,55131,0,0,0,EICV2: module s6abc_employment; EICV3: module s06ab_occupation,s6bq7_v2 (EICV7_CS),EICV2: Ever been employed for wages or salary full-time,"{""1"": [""Yes"", ""Yes, in the past""], ""2"": [""No"", ""Yes, currently""]}"
s6bq8,Kind of employer in last full-time salaried employment,int16,"1=Government, 2=Public non financial, 3=Public financial, 4=Private non financial (formal), 5=Private non-financial (informal) …",298,0,1350,4932,0,0,0,EICV2: module s6abc_employment; EICV3: module s06ab_occupation,s6bq8_v2 (EICV7_CS),EICV2: Last salary or wage full-time employment,"{""11"": [""Chemists"", ""International agency""], ""12"": [""Other"", ""Physicists""]}"
s6bq9a_v2,[EICV2..EICV2 version] Years since last salaried work,int8,,0,0,1350,0,0,0,0,,s6bq9a (EICV7_CS),,
s6bq9b_v2,[EICV2..EICV2 version] Months since last salaried work,int8,0=Less than one hour,1,0,1336,0,0,0,0,,s6bq9b (EICV7_CS),,
s6cq1_v2,[EICV2..EICV2 version] Gathering wood,int8,"1=Yes, 2=No",2,0,28003,0,0,0,0,,s6cq1 (EICV7_CS),,
s6cq2_v2,[EICV2..EICV2 version] Time spent gathering wood (hours),int8,0=Less than one hour,1,0,10489,0,0,0,0,,s6cq2 (EICV7_CS),,
s6cq3_v2,[EICV2..EICV2 version] Fetching water,int8,"1=Yes, 2=No",2,0,27999,0,0,0,0,,s6cq3 (EICV7_CS),,
s6cq4_v2,[EICV2..EICV2 version] Time spent fetching water (hours),int8,0=Less than one hour,1,0,15581,0,0,0,0,,s6cq4 (EICV7_CS),,
s6cq5_v2,[EICV2..EICV2 version] At the market,int8,"1=Yes, 2=No",2,0,27993,0,0,0,0,,s6cq5 (EICV7_CS),,
s6cq6_v2,[EICV2..EICV2 version] Time spent at the market (hours),int8,0=Less than one hour,1,0,6876,0,0,0,0,,s6cq6 (EICV7_CS),,
s6cq7_v2,[EICV2..EICV2 version] Cooking,int8,"1=Yes, 2=No",2,0,27995,0,0,0,0,,s6cq7 (EICV7_CS),,
s6cq8_v2,[EICV2..EICV2 version] Time spent cooking (hours),int8,0=Less than one hour,1,0,12611,0,0,0,0,,s6cq8 (EICV7_CS),,
s6cq9_v2,[EICV2..EICV2 version] Other household chores,int8,"1=Yes, 2=No",2,0,27984,0,0,0,0,,s6cq9 (EICV7_CS),,
s6cq10_v2,[EICV2..EICV2 version] Time spent at other household chores (hours),int8,0=Less than one hour,1,0,13997,0,0,0,0,,s6cq10 (EICV7_CS),,
filter__,SURVEY = 2 (FILTER),int8,"0=Not Selected, 1=Selected",2,0,23668,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
zdkey,EA key,double,,0,0,27131,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
poverty_v3,[EICV2..EICV2 version] Poor or not (1=poor),int8,,0,0,27131,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS), poverty_v2 (EICV3, EICV4_CS)",,
mainusual,Main job in year,int8,"1=Principal Job, 2=Secondary Job",2,0,16291,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
s6eq4_v3,[EICV2..EICV2 version] Sector,int8,"1=Public, 2=Parastatal, 3=Formal private, 4=Informal private, 5=NGO (Non-governmental organization) …",6,0,3584,0,0,0,0,,"s6eq4 (EICV5_CS), s6eq4_v2 (EICV4_CS)",,
isicgroup,Industry Group,int8,"0=Inadequately Described, 11=11 Agriculture, 12=12 Livestock, 13=13 Forestry, 14=14 Fishing & Hunting …",34,0,16290,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
secocc,Occupation code,int16,"11=Chemists, 12=Physicists, 13=Physical scientists n.e.c., 14=Physical science technicians, 21=Architects and town planners …",288,0,6118,0,0,0,0,EICV2: module jobstatus_subsistence1,secocc_v2 (EICV1),,
secoccgrp,Occupation - Grouped,int8,"1=Professionals, 2=Senior Officials and Managers, 3=Office Clerks, 4=Commercial and Sales, 5=Skilled Service Sector …",10,0,6118,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
secstats,Work Status of Secondary Job,int8,"1=Wage farm, 2=Independent farm, 3=Unpaid farm worker, 4=Wage non farm, 5=Independent non-farm …",6,0,6118,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
secsubs,Sec Job Subsistence,int8,"0=Not Subsistence, 1=Subsistence farmer",2,0,27131,0,0,0,0,EICV2: module jobstatus_subsistence1,secsubs_v2 (EICV1),,
subsistence,Main Job Subsistence,int8,"0=Not Subsistence, 1=Subsistence farmer",2,0,27131,0,0,0,0,EICV2: module jobstatus_subsistence1,subsistence_v2 (EICV1),,
okey,old key,double,,0,0,27131,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,68398,66081,64314,0,EICV3: module s06g_timeuse; EICV4_CS: module current_main_activity6,quintile_v2 (EICV7_CS),EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,68398,66081,0,0,,"poverty (EICV5_CS, EICV7_CS), poverty_v3 (EICV2)",EICV3: Poverty status; EICV4_CS: POVERTY,
s1q4,Marital status,int8,"1=Married monogamously with legal certificate, 2=Married monogamously without legal certificate, 3=Married polygamously, 4=Divorced, 5=Separated …",9,0,0,44217,43681,43240,43529,,"s1q4_v2 (EICV1, EICV2)",,"{""1"": [""Married monogamously"", ""Married monogamously with legal certificate""], ""2"": [""Married monogamously without legal certificate"", ""Married polygamously""], ""3"": [""Living together"", ""Married polygamously""], ""4"": [""Divorced"", ""Living together""], ""5"": [""Divorced"", ""Separated""], ""6"": [""Separated"", ""Single""], ""7"": [""Single"", ""Widow or widower"", ""Widowed""]}"
s1q10,Resident of another household in the last 12 months,int8,"1=Yes, 2=No, 8=Don't Know",3,0,0,9111,0,12064,0,,"s1q10_v2 (EICV2, EICV4_CS), s1q10_v3 (EICV7_CS), s1q10_v4 (EICV1)",,
s1q11,Resident during enumeration period,int8,"1=Yes, 2=No, 8=Don't know, 9=Missing",4,0,0,68398,66081,64314,0,,"s1q11_v2 (EICV1, EICV7_CS), s1q11_v3 (EICV2)",EICV4_CS: Will be resident during enumeration period,
s1q12,Main reason for absence during enumeration,int8,"1=Studies, 2=Seasonal work, 3=Working away now, 4=Health care, 5=Attend ceremony …",11,0,0,2428,2381,2023,0,,"s1q12_v2 (EICV7_CS), s1q12_v3 (EICV2), s1q12_v4 (EICV1)",EICV3: Reason for absence during enumeration; EICV4_CS: Reason for absence,
s1q13,Mother still alive,int8,"1=Yes and resident in household, 2=Yes but residing in another household, 3=No, 4=Do not know, 8=Don't know …",6,0,0,38375,36065,0,27538,,"s1q13_v2 (EICV1, EICV2), s1q13_v3 (EICV5_CS)",EICV3: Father still alive; EICV4_CS: Father still alive,"{""2"": [""Yes but residing in another household"", ""Yes,but residing in another household"", ""Yes,but residing in onother household""], ""1"": [""Yes and resident in household"", ""Yes,and residing in the household""]}"
s1q14,Father still alive,int8,"1=Yes,and residing in the household, 2=Yes,but residing in onother household, 3=No, 4=Do not know, 8=Dont know …",6,0,0,38375,36065,33201,0,,"s1q14_v2 (EICV1, EICV7_CS)",EICV3: Mother still alive; EICV4_CS: Mother still alive,"{""1"": [""Yes and resident in household"", ""Yes,and residing in the household""], ""2"": [""Yes but residing in another household"", ""Yes,but residing in onother household""], ""8"": [""Do not know"", ""Dont know""]}"
s2aq1_v2,[EICV3..EICV3 version] PID of respondent,int32,,0,0,0,56116,0,0,0,,"s2aq1 (EICV1, EICV2)",,
s2aq3,Attended school in the last 12 months,int8,"1=Yes, 2=No",2,0,0,46688,0,0,0,,"s2aq3_v2 (EICV2), s2aq3_v3 (EICV1)",,
s2aq4,Current class,int8,"1=Pre-primary, 11=Primary 1, 12=Primary 2, 13=Primary 3, 14=Primary 4 …",27,0,0,21871,0,0,0,,"s2aq4_v2 (EICV2), s2aq4_v3 (EICV1)",,
s2aq5a,Class attended in 2009,int8,"0=Not in class, 1=Pre-primary, 11=Primary 1, 12=Primary 2, 13=Primary 3 …",28,0,0,21871,0,0,0,,,,
s2aq5b,Class attended in 2010,int8,"0=Not in class, 1=Pre-primary, 11=Primary 1, 12=Primary 2, 13=Primary 3 …",28,0,0,21871,0,0,0,,,,
s2aq6,Reason for repeating class,int8,"1=Failed year examinatios, 2=Sickness, 3=Financial problems, 4=Family problems, 5=Other pecify",5,0,0,4539,0,0,0,,"s2aq6_v2 (EICV2), s2aq6_v3 (EICV1)",,
