variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
s5q6a,How long have you been in this community-years?,int8,,0,3985,0,0,0,0,0,EICV1: module s5_migration,,,
s5q6b,How long have you been in this community-months?,int8,,0,3985,0,0,0,0,0,EICV1: module s5_migration,,,
s5q7,Where did you reside before coming to this community?,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,6821,0,0,0,0,0,EICV1: module s5_migration,,,
s5q8a,How long did you live there-years?,int8,,0,6821,0,0,0,0,0,EICV1: module s5_migration,,,
s5q8b,How long did you live there-months?,int8,,0,6821,0,0,0,0,0,EICV1: module s5_migration,,,
s5q9,Type pf place lived before coming to this community?,int8,"1=Capital, 2=Grande ville, 3=Ville, 4=Campagne",4,3612,0,0,0,0,0,EICV1: module s5_migration,,,
s5q10a,Length of time to travel to previous place-days?,int8,,0,3612,0,0,0,0,0,EICV1: module s5_migration,,,
s5q10b,Length of time to travel to previous place-hours?,int8,,0,3612,0,0,0,0,0,EICV1: module s5_migration,,,
s5q10c,Length of time to travel to previous place-minutes?,int8,,0,3612,0,0,0,0,0,EICV1: module s5_migration,,,
s5q10d,Means of transport,int8,"1=Bus/car/truck, 2=Boat/dugout, 3=Plain, 4=Other",4,3612,0,0,0,0,0,EICV1: module s5_migration,,,
s5q11,Distacne in km,double,,0,3612,0,0,0,0,0,EICV1: module s5_migration,,,
s5q12,Occupation in previous residence?,int16,,0,6821,0,0,0,0,0,EICV1: module s5_migration,,,
s5q13,Trade or industry of previous residence?,int16,,0,2119,0,0,0,0,0,EICV1: module s5_migration,,,
s5q14,Employment status in previous residence?,int8,"1=Paid employee, 2=Employer, 3=Self-employment, 4=Domestic help, 5=Apprentice/trainee",5,2119,0,0,0,0,0,EICV1: module s5_migration,,,
s5q15,Sector worked in previous residence?,int8,"1=Public, 2=Quasi-public, 3=Private formal, 4=Private informal",4,2119,0,0,0,0,0,EICV1: module s5_migration,,,
s5q16,Main reason for moving?,int8,"1=Job requirement, 2=Lost job, 3=Parner",3,6821,0,0,0,0,0,EICV1: module s5_migration,,,
id1,Strata,int8,"1=Kigali urban, 2=Other urban, 3=Rural",3,32153,34785,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,32153,34785,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
hh_wt,Household weight,double,,0,32153,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
totexp,Undeflated total consumption,double,,0,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
cycle,Cycle interviewed,int8,,0,0,0,0,0,0,0,EICV1: module eicv1_econbase,,,
month,Month of interview,int8,,0,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
totdefl,Regional price deflator,double,,0,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
totexpdef,Deflated total expenditures,double,,0,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
hhsize,Household size,int8,,0,32153,27131,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
eqad,Equivalent adults,double,,0,32153,27131,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
age_5,Age on five year cohorts,int8,"1=Less than five years old, 2=5 to 9 year old, 3=10 to 14 years old, 4=15 to 19 years old, 5=20 to 24 years old …",17,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
id_strate,New strata based on census EAs,int8,"1=Urban, 2=Other urban, 3=Rural",3,32153,27131,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
e2_prov,Census province,int8,"1=Ville de Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,32153,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
pov,Poverty line,int8,"0=Not poor, 1=Poor, 2=Non-poor",3,32153,27131,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,EICV1: poverty incidence,
epov,,int8,,0,32153,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
quint,Expenditure quintile,int8,"1=1st Quintile, 2=2nd Quintile, 3=3rd Quintile, 4=4th Quintile, 5=5th Quintile",5,32153,27131,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
worked12m,Worked in past 12 month period,int8,6=No work,1,25193,0,0,0,0,0,EICV1: module eicv1_econbase,,,
subsistence_v2,[EICV1..EICV1 version] Independent farmer or unpaid family farmer,int8,"0=Main job not subsistence farmer, 1=Main job subsistence farmer",2,15232,0,0,0,0,0,,subsistence (EICV2),,
secsubs_v2,[EICV1..EICV1 version] 2nd job Independent farmer or unpaid family farmer,int8,"0=No, 1=Yes",2,2323,0,0,0,0,0,,secsubs (EICV2),,
ownfarmer,One of jobs subsistence,int8,"0=No, 1=Yes",2,15232,0,0,0,0,0,EICV1: module eicv1_econbase,,,
s8bq1,Does any member of household own land (here or elsewhere)?,int8,"1=Yes, 2=No",2,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
s8bq2,Did any member of household own Ag. land during last 12 months?,int8,"1=Yes, 2=No",2,4660,0,0,0,0,0,EICV1: module eicv1_econbase,,,
s8cq0,Did member of household plant any crops on parcels last 12 months?,int8,"1=Yes, 2=No",2,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
s8cq4_sum_1,Area held,double,,0,27639,0,0,0,0,0,EICV1: module eicv1_econbase,,,
s8cq4_nu,Number of Parcels,int8,,0,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
s8cq5_max,Land irrigated,int8,"1=Yes, 2=No",2,27639,0,0,0,0,0,EICV1: module eicv1_econbase,,,
farmer,Subsistence farmer,int8,"0=No, 1=Yes",2,15232,0,0,0,0,0,EICV1: module eicv1_econbase,,,
mainisic,Main Job Industry Group,int16,"0=Inadequately Described, 11=11 Agriculture, 12=12 Livestock, 13=13 Forestry, 14=14 Fishing & Hunting …",35,25193,0,0,0,0,0,EICV1: module eicv1_econbase,,,
secisic,Industry Group,int16,"0=Inadequately Described, 11=11 Agriculture, 12=12 Livestock, 13=13 Forestry, 14=14 Fishing & Hunting …",35,24505,6117,0,0,0,0,EICV1: module eicv1_econbase; EICV2: module jobstatus_subsistence1,,EICV1: Secondary job Industry Group,
occupation,Occupation - Grouped,int16,"1=Professionals, 2=Senior Officials and Managers, 3=Office Clerks, 4=Commercial and Sales, 5=Skilled Service Sector …",11,25193,16291,0,0,0,0,EICV1: module eicv1_econbase; EICV2: module jobstatus_subsistence1,,EICV1: Main Occupation - Grouped,
secocc_v2,[EICV1..EICV1 version] SecondOccupation - Grouped,int16,999=No job,1,24505,0,0,0,0,0,,secocc (EICV2),,
childages,Child Age Bands,int8,"1=7 to 10, 2=11 to 15, 3=16 to 20, 4=Over 21 years",4,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
econstatus,Economic Activity Status,int8,"1=Working, 2=Unemployed, 3=Student, 4=Under 7 years old, 5=Inactive - other",5,32153,27131,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
unemployed,Unemployed in last 12 months,int8,,0,361,0,0,0,0,0,EICV1: module eicv1_econbase,,,
seekwork,Seeking work in last 7 days,int8,,0,740,0,0,0,0,0,EICV1: module eicv1_econbase,,,
unempcurr,Unemployed in last 7 days,int8,,0,308,0,0,0,0,0,EICV1: module eicv1_econbase,,,
grpages,Work Age Bands,int8,"1=7 to 10, 2=11 to 14, 3=15 to 20, 4=21 to 30, 5=31 to 40 …",8,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
isicshort, ShortIndustry Group,int8,"0=Inadequately described, 1=Agriculture, fishing, forestry, 2=Mining & quarrying, 3=Manufacturing, 4=Utilities …",12,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
indfarmer,Independent farmer,int8,,0,6778,0,0,0,0,0,EICV1: module eicv1_econbase,,,
indfarmer_nu,Number Hhd of Ind Farmers,int8,,0,32153,0,0,0,0,0,EICV1: module eicv1_econbase,,,
revworkstats,Revised Work Status,int8,"1=Wage farm, 2=Independent farm head, 3=Unpaid farm worker, 4=Wage non farm, 5=Independent non-farm …",6,15243,0,0,0,0,0,EICV1: module eicv1_econbase,,,
nkey,Anonymized key,int32,,0,0,27131,0,0,0,0,EICV1: module eicv1_econbase; EICV2: module jobstatus_subsistence1,,,
id3,District,int8,,0,0,0,0,0,0,0,EICV1: module eicv1_econbase,,,
id4,Sector,int8,,0,0,0,0,0,0,0,EICV1: module eicv1_econbase,,,
id5,Enumeration area,int8,,0,0,0,0,0,0,0,EICV1: module eicv1_econbase,,,
id6,Household number,int8,,0,0,34785,0,0,0,0,EICV1: module eicv1_econbase; EICV2: module s6abc_employment,,,
subsistence_eicv1_jobstatus_subs,Main Job Subsistence,int8,"0=Not Subsistence, 1=Subsistence farmer",2,14499,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
secsubs_eicv1_jobstatus_subsiste,2nd job Independent farmer or unpaid family farmer,int8,"0=Not Subsistence, 1=Subsistence farmer",2,14499,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
mainisic_eicv1_jobstatus_subsist,Main Job Industry Group,int16,999=No job,1,14499,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
secisic_eicv1_jobstatus_subsiste,Secondary job Industry Group,int16,999=No job,1,14499,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
occupation_eicv1_jobstatus_subsi,Main Occupation - Grouped,int16,,0,14499,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
secocc_eicv1_jobstatus_subsisten,SecondOccupation - Grouped,int16,999=No job,1,14499,0,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1,,,
workstats,Usual Work Status,int8,"1=Wage farm, 2=Independent farm, 3=Unpaid farm worker, 4=Wage non farm, 5=Independent non-farm …",6,14498,16290,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,EICV1: Work Status as EICV2,
subfarmer,Subsistence in either job,int8,"0=Not Subsistence, 1=Subsistence farmer, 2=Subsistence farmer in main & sec job",3,14499,27131,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
farmer_type,type of crop farmer,int8,"1=staples only, 2=fruit or veg, 3=tea/coffee",3,12855,23668,0,0,0,0,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,,
s1q3m,Age (Months),int8,,0,0,6668,12282,10958,10648,9211,,,EICV2: Age in months; EICV5_CS: Age _Months_,
