variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s8eq10,Principle market or outlet,int8,"1=Purchase in the field, 2=Trader in the market, 3=Individual consumer, 4=Commercial company, 5=Cooperative …",8,"household / farm (agriculture, livestock)",0,26924,0,0,0,0,,s8eq10_v2 (EICV2),,
s8eq11,Value of the entire harvest,int32,0=,1,"household / farm (agriculture, livestock)",0,121882,0,0,0,0,,s8eq11_v2 (EICV2),,
s8eq12,Consumed own produce small scale crops,int8,"1=Always, 2=Often, 3=No",3,"household / farm (agriculture, livestock)",0,121882,0,0,0,0,,s8eq12_v2 (EICV2),,
s8eq13a,Quantity of small scale crop consumed,double,0=Missing,1,"household / farm (agriculture, livestock)",0,115794,0,0,0,0,,,,
s8eq13b,Unit of time,int8,"1=Day, 2=Week",2,"household / farm (agriculture, livestock)",0,115794,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household / farm (agriculture, livestock)",0,0,145711,25271,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household / farm (agriculture, livestock)",0,0,145711,25271,118099,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7eq2,Codes for small scale crops,int8,"0=Not applicable, 1=Rice, 2=Maize, 3=Sorghum, 4=Wheat …",72,"household / farm (agriculture, livestock)",0,0,145711,25271,118099,13913,,,EICV4_CS: Codes for small scale crops harvested over last 12; EICV4_VUP: Codes for small scale crops harvested over last 12,"{""53"": [""Mushroom or spinac"", ""Mushroom or spinach""], ""18"": ["" Yam _Amateke_"", ""Yam (Amateke)""], ""33"": [""Strawberriers"", ""Strawberries""], ""35"": [""Others fruits (Ibifenesi)"", ""Others fruits _Ibifenesi_""], ""47"": ["" Carotts"", ""Carrots""], ""58"": [""Green vegetables (Inyabutongo)"", ""Green vegetables _Inyabutongo_""], ""66"": [""Pyretre (Ibireti)"", ""Pyretre _Ibireti_""]}"
s7eq3a,Quantity harvested in the last 12 months_Kg_,double,"9500=More than 9000, 90001=More than 900000",2,"household / farm (agriculture, livestock)",0,0,145711,25271,118099,13913,,,EICV4_CS: Quantity harvested in the last 12 months; EICV4_VUP: Quantity harvested in the last 12 months,
s7eq3b,Time unit,int8,"1=Week, 2=Month, 3=Quarter, 4=Year, 9=Missing",5,"household / farm (agriculture, livestock)",0,0,145711,25271,118099,13913,,,EICV4_CS: Harvest (time unit); EICV4_VUP: Harvest (time unit),
