variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s9cq8,Visit 5,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq9,Visit 6,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq10,Visit 7,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq11,Visit 8,double,0=Missing,1,household (expenditure and own consumption),0,76214,0,0,0,0,,,,
s9cq12,Visit 9,double,0=Missing,1,household (expenditure and own consumption),0,76214,0,0,0,0,,,,
s9cq13,Visit 10,double,0=Missing,1,household (expenditure and own consumption),0,76214,0,0,0,0,,,,
s9cq14,Unit of measure declared,int8,"0=No consumption during the visit, 1= bottle of Fanta, 2= Bottle Primus, 3= bottle Wisky, 4= Bottle Martine …",41,household (expenditure and own consumption),0,118593,0,0,0,0,,,,
s9cq15,Current unit price of the product,int16,0=Not Applicable,1,household (expenditure and own consumption),0,118593,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,household (expenditure and own consumption),0,0,1347319,242560,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,household (expenditure and own consumption),0,0,1347319,242560,1472580,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s8cq0_v2,[EICV4_CS..EICV4_VUP version] Article,int16,"1=Local rice, 2=Maize (fresh), 3=Dry maize (grain), 4=Sorghum, 5=Wheat (grain) …",101,household (expenditure and own consumption),0,0,1346229,242501,0,0,,"s8cq0 (EICV5_CS, EICV5_VUP)",,
s8cq0d,Description,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,EICV4_CS: Article description; EICV4_VUP: Article description,
s8cq1,COICOP code details,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,EICV4_CS: COICOP code; EICV4_VUP: COICOP code,
s8cq1d,COICOP value,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
s8cq2,Number of months article was consumed,int8,"0=None, 99=Missing",2,household (expenditure and own consumption),0,0,1346229,242501,1472580,166044,,,,
s8cq3_v2,[EICV4_CS..EICV4_VUP version] Visit 2,double,,0,household (expenditure and own consumption),0,0,1346229,242501,0,0,,"s8cq3 (EICV5_CS, EICV5_VUP)",,
s8cq4,Visit 2,double,,0,household (expenditure and own consumption),0,0,1346229,242501,1472580,166044,,,EICV4_CS: Visit 3; EICV4_VUP: Visit 3,
s8cq5,Visit 3,double,0=Nothing,1,household (expenditure and own consumption),0,0,1346229,242400,1472580,166044,,,EICV4_CS: Visit 4; EICV4_VUP: Visit 4,
s8cq6,Visit 4,double,0=Nothing,1,household (expenditure and own consumption),0,0,1346128,242400,1472580,166044,,,EICV4_CS: Visit 5; EICV4_VUP: Visit 5,
s8cq7,Visit 5,double,0=Nothing,1,household (expenditure and own consumption),0,0,1345825,242400,1472580,166044,,,EICV4_CS: Visit 6; EICV4_VUP: Visit 6,
s8cq8,Visit 6,double,"0=Nothing, 99=Missing",2,household (expenditure and own consumption),0,0,1345421,242400,1472580,166044,,,EICV4_CS: Visit 7; EICV4_VUP: Visit 7,
s8cq9,Visit 7,double,0=Nothing,1,household (expenditure and own consumption),0,0,1345118,242400,1472580,166044,,,EICV4_CS: Visit 8; EICV4_VUP: Visit 8,
s8cq10,Visit 8,double,0=Nothing,1,household (expenditure and own consumption),0,0,67973,49692,1472580,166044,,,EICV4_CS: Visit 9; EICV4_VUP: Visit 9,
s8cq11,Visit 9,double,0=Nothing,1,household (expenditure and own consumption),0,0,67872,49591,1472580,166044,,,EICV4_CS: Visit 10; EICV4_VUP: Visit 10,
s8cq12,Visit 10,double,"0=Nothing, 99=Missing",2,household (expenditure and own consumption),0,0,67872,49591,1472580,166044,,,EICV4_CS: Visit 11; EICV4_VUP: Visit 11,
s8cq13_v2,[EICV4_CS..EICV4_VUP version] Unit of measure declared,int8,"1=Kilogram, 2=Litre, 3=Piece, 9=Missing",4,household (expenditure and own consumption),0,0,235563,41100,0,0,,"s8cq13 (EICV5_CS, EICV5_VUP)",,
s8cq14_v2,[EICV4_CS..EICV4_VUP version] Current unit price of the product,int16,"0=Not Applicable, 9999=Missing",2,household (expenditure and own consumption),0,0,235563,41100,0,0,,"s8cq14 (EICV5_CS, EICV5_VUP)",,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,household (expenditure and own consumption),0,0,1347319,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,household (expenditure and own consumption),0,0,1347319,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,household (expenditure and own consumption),0,0,1347319,242560,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,household (expenditure and own consumption),0,0,1347319,0,0,0,,,,
s0q19m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,1347319,242560,0,0,,,,
s0q19y,Year of interview,int8,,0,household (expenditure and own consumption),0,0,1347319,242560,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,household (expenditure and own consumption),0,0,0,242560,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,household (expenditure and own consumption),0,0,0,0,1472580,0,,"poverty (EICV3, EICV4_CS)",,
s8cq0,Product,int16,"1=Local rice, 2=Maize _fresh_, 3=Dry maize _grain_, 4=Sorghum, 5=Wheat _grain_ …",101,household (expenditure and own consumption),0,0,0,0,1472580,166044,,"s8cq0_v2 (EICV4_CS, EICV4_VUP)",,
s8cq3,How much did you consume  since the last 7 days,double,,0,household (expenditure and own consumption),0,0,0,0,1472580,166044,,"s8cq3_v2 (EICV4_CS, EICV4_VUP)",,
s8cq13,Visit 11,double,0=Nothing,1,household (expenditure and own consumption),0,0,0,0,1472580,166044,,"s8cq13_v2 (EICV4_CS, EICV4_VUP)",,
s8cq14,Unit of measure declared,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,"s8cq14_v2 (EICV4_CS, EICV4_VUP)",,
s8cq15,Current unit price of the product,int16,0=Not Applicable,1,household (expenditure and own consumption),0,0,0,0,246215,30235,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,household (expenditure and own consumption),0,0,0,0,0,166044,,,,
s0q18m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,0,0,0,166044,,,,
s0q18y,Year of interview,int16,,0,household (expenditure and own consumption),0,0,0,0,0,166044,,,,
