# EICV checks report

Generated by 03_checks.py.

## A. Python pooled person file vs old Stata outputs (3 Jul 2026; EICV1/2 were not processed then)

| section | statistic | Python | reference | result |
| D | EICV1 household rows unique | 6,420 | 6,420 | PASS |
| D | EICV2 sum hhsize == person rows | 34,785 | 34,785 | PASS |
| D | EICV2 households == distinct hhid in person file | 6,900 | 6,900 | PASS |
| D | EICV2 household rows unique | 6,900 | 6,900 | PASS |
| D | EICV3 sum hhsize == person rows | 68,398 | 68,398 | PASS |
| D | EICV3 households == distinct hhid in person file | 14,308 | 14,308 | PASS |
| D | EICV3 household rows unique | 14,308 | 14,308 | PASS |
| D | EICV3 pop_wt / wt == hhsize - domestic workers (% of households) | 100 | 100 | PASS |
| D | EICV4_CS sum hhsize == person rows | 66,081 | 66,081 | PASS |
| D | EICV4_CS households == distinct hhid in person file | 14,419 | 14,419 | PASS |
| D | EICV4_CS household rows unique | 14,419 | 14,419 | PASS |
| D | EICV4_CS pop_wt / wt == hhsize - domestic workers (% of households) | 100 | 100 | PASS |
| D | EICV5_CS sum hhsize == person rows | 64,314 | 64,314 | PASS |
| D | EICV5_CS households == distinct hhid in person file | 14,580 | 14,580 | PASS |
| D | EICV5_CS household rows unique | 14,580 | 14,580 | PASS |
| D | EICV5_CS pop_wt / wt == hhsize - domestic workers (% of households) | 100 | 100 | PASS |
| D | EICV7_CS sum hhsize == person rows | 62,110 | 62,110 | PASS |
| D | EICV7_CS households == distinct hhid in person file | 15,054 | 15,054 | PASS |
| D | EICV7_CS household rows unique | 15,054 | 15,054 | PASS |
| D | EICV7_CS pop_wt / wt == hhsize (% of households) | 100 | 100 | PASS |
| D | EICV1 person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV2 person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV3 person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV4_CS person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV4_VUP person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV5_CS person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV5_VUP person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV7_CS person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | EICV7_VUP person and household files present in 2_Intermediate (manifest) | 2 | 2 | PASS |
| D | VUP person pool holds EICV4_VUP, EICV5_VUP and EICV7_VUP (waves found) | 3 | 3 | PASS |
| D | VUP household pool holds EICV4_VUP, EICV5_VUP and EICV7_VUP (waves found) | 3 | 3 | PASS |
| D | VUP household pool: EICV4_VUP households (report: 2,460 sampled) | 2,460 | 2,460 | PASS |
| D | EICV1 nested poverty file joined at household level (match rate) | 100 | 100 | PASS |
| D | EICV1 values filled into base columns by agreeing module copies (join coalescing; informational) | 9,956 |  | n/a |
| D | EICV1 colliding columns kept with a suffix because they disagree (informational) | 31 |  | n/a |
| D | EICV1 NISR native survey/year fields preserved as *_nisr (informational) | 3 |  | n/a |
| D | EICV2 mainjob_short joined at person level (household-key match rate) | 100 | 100 | PASS |
| D | EICV2 nested poverty file joined at household level (match rate) | 100 | 100 | PASS |
| D | EICV2 values filled into base columns by agreeing module copies (join coalescing; informational) | 65,839 |  | n/a |
| D | EICV2 colliding columns kept with a suffix because they disagree (informational) | 8 |  | n/a |
| D | EICV2 NISR native survey/year fields preserved as *_nisr (informational) | 3 |  | n/a |
| D | EICV3 values filled into base columns by agreeing module copies (join coalescing; informational) | 0 |  | n/a |
| D | EICV3 colliding columns kept with a suffix because they disagree (informational) | 2 |  | n/a |
| D | EICV3 NISR native survey/year fields preserved as *_nisr (informational) | 5 |  | n/a |
| D | EICV3_4_Panel values filled into base columns by agreeing module copies (join coalescing; informational) | 0 |  | n/a |
| D | EICV3_4_Panel colliding columns kept with a suffix because they disagree (informational) | 0 |  | n/a |
| D | EICV3_4_Panel NISR native survey/year fields preserved as *_nisr (informational) | 0 |  | n/a |
| D | EICV4_CS values filled into base columns by agreeing module copies (join coalescing; informational) | 0 |  | n/a |
| D | EICV4_CS colliding columns kept with a suffix because they disagree (informational) | 37 |  | n/a |
| D | EICV4_CS NISR native survey/year fields preserved as *_nisr (informational) | 0 |  | n/a |
| D | EICV4_VUP values filled into base columns by agreeing module copies (join coalescing; informational) | 0 |  | n/a |
| D | EICV4_VUP colliding columns kept with a suffix because they disagree (informational) | 0 |  | n/a |
| D | EICV4_VUP NISR native survey/year fields preserved as *_nisr (informational) | 4 |  | n/a |
| D | EICV5_CS values filled into base columns by agreeing module copies (join coalescing; informational) | 0 |  | n/a |
| D | EICV5_CS colliding columns kept with a suffix because they disagree (informational) | 8 |  | n/a |
| D | EICV5_CS NISR native survey/year fields preserved as *_nisr (informational) | 0 |  | n/a |
| D | EICV5_VUP values filled into base columns by agreeing module copies (join coalescing; informational) | 7,790 |  | n/a |
| D | EICV5_VUP colliding columns kept with a suffix because they disagree (informational) | 2 |  | n/a |
| D | EICV5_VUP NISR native survey/year fields preserved as *_nisr (informational) | 4 |  | n/a |
| D | EICV7_CS values filled into base columns by agreeing module copies (join coalescing; informational) | 0 |  | n/a |
| D | EICV7_CS colliding columns kept with a suffix because they disagree (informational) | 11 |  | n/a |
| D | EICV7_CS NISR native survey/year fields preserved as *_nisr (informational) | 0 |  | n/a |
| D | EICV7_VUP values filled into base columns by agreeing module copies (join coalescing; informational) | 3,477 |  | n/a |
| D | EICV7_VUP colliding columns kept with a suffix because they disagree (informational) | 0 |  | n/a |
| D | EICV7_VUP NISR native survey/year fields preserved as *_nisr (informational) | 4 |  | n/a |

## E. Cross-wave coding compatibility within pooled columns

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| E | pooled columns (all 31 pooled files) holding waves with incompatible value-label texts for the same code (must be 0) | 0 | 0 | PASS |
| E | variables split into versions because of value labels or unlabelled ranges (informational) | 70 |  | n/a |
| E | variables with codes observed outside their own wave's value labels -- stale labels (informational) | 129 |  | n/a |
| E | forced splits (FORCE_SPLIT entries) / forced alignments | 31022 |  | n/a |

**All checks passed.**
