# CFSVA checks report

Generated by 03_checks.py.

## A. Pooled files vs per-wave cleaned files

| section | statistic | Python | reference | result |
| D | 2015 distinct clusters = reconstructed villages (25 per district x 30) | 750 | 750 | PASS |
| D | 2015 reconstructed villages: households per village = 10 (number of villages with another size) | 0 | 0 | PASS |
| D | 2012 urban == 1 (NISR urban_new: 990) | 990 | 990 | PASS |
| D | 2012 urban == 2 (6,508) | 6,508 | 6,508 | PASS |
| D | 2012 urban missing | 0 | 0 | PASS |
| D | 2006 woman rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2009 woman rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2012 woman rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2015 woman rows carrying a household id (must be 0: nutrition-form ids only) | 0 | 0 | PASS |
| D | 2024 woman rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2006 child rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2009 child rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2012 child rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 939 | 1,000 | PASS |
| D | 2015 child rows carrying a household id (must be 0: nutrition-form ids only) | 0 | 0 | PASS |
| D | 2018 child rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2021 child rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |
| D | 2024 child rows whose household id is in the household file (share x 1000; must be >= 900; 2012 children link at 93.9% as shipped) | 1,000 | 1,000 | PASS |

## E. Cross-wave coding compatibility within pooled columns (all pooled files)

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| E | pooled columns holding waves with incompatible value-label texts for the same code (must be 0) | 0 | 0 | PASS |
| E | variables split into versions, all pooled files (informational) | 531 |  | n/a |
| E | of which because of value labels or unlabelled ranges (informational) | 25 |  | n/a |
| E | variables with codes observed outside their own wave's value labels -- stale labels (informational) | 319 |  | n/a |

**All checks passed.**
