# SAS checks report

Generated by 03_checks.py.

## A. Pooled crop-production file vs the per-wave cleaned files

| section | statistic | Python | reference | result |
| A | 2024_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2024_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 35,584 |  | n/a |
| A | 2024_C rows == cleaned file rows | 1,949 | 1,949 | PASS |
| A | 2024_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2024_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 1,949 |  | n/a |
| A | 2025_A rows == cleaned file rows | 34,369 | 34,369 | PASS |
| A | 2025_A rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2025_A rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 34,369 |  | n/a |
| A | 2025_B rows == cleaned file rows | 32,920 | 32,920 | PASS |
| A | 2025_B rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2025_B rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 32,920 |  | n/a |
| A | 2025_C rows == cleaned file rows | 1,884 | 1,884 | PASS |
| A | 2025_C rows with a crop code (share x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| A | 2025_C rows with a weight (informational; 2017-2018 LSF and part of 2020-2021 ship none) | 1,884 |  | n/a |
| A | pooled rows == sum of wave rows | 632,756 | 632,756 | PASS |

## B. Stata 17 recomputation

| section | statistic | Python | Stata | result |
|---|---|---:|---:|---|
| B | 2017_A rows | 28,484 | 28,484 | PASS |
| B | 2017_A rows with weight | 27,740 | 27,740 | PASS |
| B | 2017_A sum wt | 15,641,241 | 15,641,241 | PASS |
| B | 2017_A sum production (kg) | 65,779,408 | 65,779,408 | PASS |
| B | 2017_A median plot area (m2) | 674 | 674 | PASS |
| B | 2017_B rows | 27,120 | 27,120 | PASS |
| B | 2017_B rows with weight | 25,529 | 25,529 | PASS |
| B | 2017_B sum wt | 13,796,868 | 13,796,868 | PASS |
