23:55:01 03_checks INFO ==== 03_checks | run 20260904-235501 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
23:55:04 03_checks INFO 
# SAS checks report

Generated by 03_checks.py.

## A. Pooled plot x crop file by wave

| section | statistic | Python | reference | result |
| B | 2018_B sum production (kg) | 73,673,963 | 73,673,963 | PASS |
| B | 2018_C rows | 1,462 | 1,462 | PASS |
| B | 2018_C rows with weight | 1,461 | 1,461 | PASS |
| B | 2018_C sum wt | 349,501 | 349,501 | PASS |
| B | 2018_C sum production (kg) | 607,798 | 607,798 | PASS |
| B | 2019_A rows | 32,906 | 32,906 | PASS |
| B | 2019_A rows with weight | 32,906 | 32,906 | PASS |
| B | 2019_A sum wt | 15,330,507 | 15,330,507 | PASS |
| B | 2019_A sum production (kg) | 84,025,314 | 84,025,314 | PASS |
| B | 2019_B rows | 30,493 | 30,493 | PASS |
| B | 2019_B rows with weight | 30,493 | 30,493 | PASS |
| B | 2019_B sum wt | 14,735,773 | 14,735,773 | PASS |
| B | 2019_B sum production (kg) | 89,290,996 | 89,290,996 | PASS |
| B | 2019_C rows | 1,667 | 1,667 | PASS |
| B | 2019_C rows with weight | 1,667 | 1,667 | PASS |
| B | 2019_C sum wt | 364,385 | 364,385 | PASS |
| B | 2019_C sum production (kg) | 574,407 | 574,407 | PASS |
| B | 2020_A rows | 41,313 | 41,313 | PASS |
| B | 2020_A rows with weight | 41,313 | 41,313 | PASS |
| B | 2020_A sum wt | 30,775,512 | 30,775,512 | PASS |
| B | 2020_A sum production (kg) | 96,987,056 | 96,987,056 | PASS |
| B | 2020_B rows | 35,773 | 35,773 | PASS |
| B | 2020_B rows with weight | 35,695 | 35,695 | PASS |
| B | 2020_B sum wt | 26,058,302 | 26,058,302 | PASS |
| B | 2020_B sum production (kg) | 93,538,342 | 93,538,342 | PASS |
| B | 2020_C rows | 4,283 | 4,283 | PASS |
| B | 2020_C rows with weight | 4,283 | 4,283 | PASS |
| B | 2020_C sum wt | 19,264 | 19,264 | PASS |
| B | 2020_C sum production (kg) | 2,581,558 | 2,581,558 | PASS |
| B | 2021_A rows | 41,634 | 41,634 | PASS |
| B | 2021_A rows with weight | 41,541 | 41,541 | PASS |
| B | 2021_A sum wt | 31,213,435 | 31,213,435 | PASS |
| B | 2021_A sum production (kg) | 109,372,274 | 109,372,274 | PASS |
| B | 2021_B rows | 35,869 | 35,869 | PASS |
| B | 2021_B rows with weight | 35,799 | 35,799 | PASS |
| B | 2021_B sum wt | 25,113,833 | 25,113,833 | PASS |
| B | 2021_B sum production (kg) | 110,571,514 | 110,571,514 | PASS |
| B | 2021_C rows | 3,416 | 3,416 | PASS |
| B | 2021_C rows with weight | 1,726 | 1,726 | PASS |
| B | 2021_C sum wt | 448,698 | 448,698 | PASS |
| B | 2021_C sum production (kg) | 2,463,867 | 2,463,867 | PASS |
| B | 2022_A rows | 41,589 | 41,589 | PASS |
| B | 2022_A rows with weight | 41,589 | 41,589 | PASS |
| B | 2022_A sum wt | 34,993,486 | 34,993,486 | PASS |
| B | 2022_A sum production (kg) | 152,320,988 | 152,320,988 | PASS |
| B | 2022_B rows | 36,005 | 36,005 | PASS |
| B | 2022_B rows with weight | 36,005 | 36,005 | PASS |
| B | 2022_B sum wt | 29,070,465 | 29,070,465 | PASS |
| B | 2022_B sum production (kg) | 98,298,131 | 98,298,131 | PASS |
| B | 2022_C rows | 5,818 | 5,818 | PASS |
| B | 2022_C rows with weight | 5,818 | 5,818 | PASS |
| B | 2022_C sum wt | 589,694 | 589,694 | PASS |
| B | 2022_C sum production (kg) | 4,513,197 | 4,513,197 | PASS |
| B | 2023_A rows | 39,038 | 39,038 | PASS |
| B | 2023_A rows with weight | 39,038 | 39,038 | PASS |
| B | 2023_A sum wt | 31,499,395 | 31,499,395 | PASS |
| B | 2023_A sum production (kg) | 114,084,306 | 114,084,306 | PASS |
| B | 2023_B rows | 36,546 | 36,546 | PASS |
| B | 2023_B rows with weight | 36,546 | 36,546 | PASS |
| B | 2023_B sum wt | 28,704,081 | 28,704,081 | PASS |
| B | 2023_B sum production (kg) | 112,180,244 | 112,180,244 | PASS |
| B | 2023_C rows | 3,566 | 3,566 | PASS |
| B | 2023_C rows with weight | 3,566 | 3,566 | PASS |
| B | 2023_C sum wt | 1,118,165 | 1,118,165 | PASS |
