variable,label,type,value_labels,n_value_labels,n_2017_A,n_2017_B,n_2017_C,n_2018_A,n_2018_B,n_2018_C,source,versions,label_variants,value_label_conflicts
s2q16,2.16 Expected period for harvesting,int8,"0=Before May, 1=Before 01/12, 2=Between 01-15/12, 3=Between 16-31/12, 4=Between 01-15/01 …",15,61063,52176,4200,37846,0,0,,,2017_A_lsf: 2.16.What is the expected period of haversing for ; 2017_A_ssf: 2.16 What is the expected period of harvesting for; 2017_B_lsf: 2.16.What is the expected period for harvesting th; 2017_B_ssf: 2.16 What is expected period of harvesting for thi; 2017_C_ssf: 2.16. What is the expected period of harvesting fo,"{""2"": [""Between 01-15 /12"", ""Between 01-15/12"", ""Between 01-31/05"", ""Between 16-30/05""], ""3"": [""Between 01-15/06"", ""Between 16- 31/12"", ""Between 16-31/12""], ""4"": [""Between 01-15/01"", ""Between 01-15/1"", ""Between 16-30/06""], ""5"": [""Between 01-31/07"", ""Between 16- 31/01"", ""Between 16-31/01"", ""Between 16-31/1""], ""6"": [""After July"", ""After July (seasonal crops )"", ""Between  01-28/02"", ""Between 01-28/02"", ""Between 01-28/2""], ""7"": [""After 28/02"", ""After February"", ""After February 28"", ""Na"", ""Not applicable""], ""8"": [""Na"", ""Not applicable(Harvestable after 1 year or +)""], ""1"": [""Before 01/05"", ""Before 01/12"", ""Between 01-15/05""]}"
crop_category,Crop category based on major crops grown in Rwanda,int16,"6=Fruits, 7=Vegetables, 8=Other crops, 9=Other cereals, 10=Taro&Yams …",96,61086,53112,7853,39451,39514,3870,,,,"{""214"": [""Yam"", ""Yarms""], ""517"": [""Setaria"", ""Setarie""], ""519"": [""Other fodder crop (specify)."", ""Other fodder crops(specify)""], ""9"": [""Other celeals"", ""Other cereals""], ""10"": [""Taro&Yams"", ""Taro&Yarms""]}"
s1q4,1.4 Segment,int8,,0,68212,59985,7853,45009,44381,6560,,,2017_A_ssf: 1.4 Segment number; 2017_B_ssf: 1.4 Segment number; 2017_C_ssf: 1.4 Segment number; 2018_A_ssf: 1.4 Segment number; 2018_B_ssf: 1.4 Segment number,
s1q5_v2,1.5. Date of visiting the LSF,string,,0,71465,62792,7853,47812,47353,6560,,"s1q5 (2017_C_ssf, 2018_A_ssf, 2018_B_ssf, 2018_C_ssf)",2017_A_ssf: 1.5  Date of visiting the segment (Date-Month-Year; 2017_B_ssf: 1.5. Date of visiting the segment; 2018_A_lsf: 1.5. Date of visiting the LSF,
s1q8,1.8 Number of Grids,int8,,0,68212,59985,7853,45009,44381,6560,,,2017_A_ssf: 1.8 Number of grids in the segment; 2017_B_ssf: 1.8. Number of grids in the segment; 2017_C_ssf: 1.8 Number of grids in the segment; 2018_A_ssf: 1.8 Number of Grids in the segment,
s2q1,2.1 Sampled Grid point number,int8,99=na,1,68212,59985,7853,45009,44381,6560,,,,
s2q5,2.5 No.of Grids in the same Plot,int8,,0,68212,59985,7853,45009,44381,6560,,,2017_A_ssf: 2.5  Number of grids in the same plot; 2017_B_ssf: 2.5. Number of grids points in the same plots; 2017_C_ssf: 2.5  Number of grids in the same plot,
wh_sgt,Segment weight,double,,0,68212,59985,7853,45009,44381,6560,,,,
sgt_size,total segment size in ha,double,,0,68212,59985,0,45009,44381,6560,,sgt_size_v2 (2017_C_ssf),,
s1q5,date of interview,int32,,0,0,0,7853,45009,44381,6560,,"s1q5_v2 (2017_A_ssf, 2017_B_ssf, 2018_A_lsf)",2017_C_ssf: 1.5 date of interview; 2018_A_ssf: 1.5 Date of interview; 2018_B_ssf: 1.5 Date of interview,
sgt_size_v2,Area of the segment in hectares,double,,0,0,0,7853,0,0,0,,"sgt_size (2017_A_ssf, 2017_B_ssf, 2018_A_ssf, 2018_B_ssf, 2018_C_ssf)",,
s2q13_1,2.13.1 Density in Percentage,int16,,0,0,0,0,431,13610,684,,,2018_A_lsf: 2.13.1. Density in Percentage; 2018_B_lsf: 2.13.1.Density in Percentage,
s2q13_2,2.13.2 Density code,int8,"1=10-20%, 2=21-30%, 3=31-40%, 4=41-50%, 5=51-60% …",10,0,0,0,431,13610,684,,,2018_A_lsf: 2.13.2. Density range; 2018_B_lsf: 2.13.2.Density range,
s2q14_v2,2.14 Is this crop for this season?,int8,"1=Yes, 2=No",2,0,0,0,1605,39514,3870,,"s2q14 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf), s2q14_v3 (2018_A_ssf)",2018_A_lsf: 2.14.Is this crop for this season?; 2018_B_lsf: 2.14.Is this crop for this season?; 2018_B_ssf: 2.14 Is this crop for this season?; 2018_C_ssf: 2.14 Is this crop for this season?,
s2q15_v2,2.15 Expected period for harvesting,int16,"1=Before 01/12, 2=Between 01-15 /12, 3=Between 16- 31/12, 4=Between  01-15/01, 5=Between 16- 31/01 …",21,0,0,0,1605,39514,3870,,"s2q15 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf, 2018_A_ssf)",2018_A_lsf: 2.15.Expected period for harvesting; 2018_B_lsf: 2.15.Expected period for harvesting; 2018_B_ssf: 2.15 Expected period for harvesting; 2018_C_ssf: 2.15 Expected period for harvesting,"{""8"": [""Before 01/05"", ""Before May""], ""9"": [""Between  01-15/05"", ""Between 01-15 May"", ""Between 01-15/05""], ""10"": [""Between  16-31/05"", ""Between 15-30 May"", ""Between 16- 31/05""], ""11"": [""Between 01 -15/06"", ""Between 01- 15/06"", ""Between 01-15 June""], ""12"": [""Between 16 -30/06"", ""Between 16-30 June"", ""Between 16-30/06""], ""13"": [""Between  01-31/07"", ""Between 01-31 July"", ""Between 01-31/07""], ""14"": [""Between  01-31/08"", ""Between 01-31 August"", ""Between 01-31/08""], ""15"": [""After 31/08"", ""After August""], ""2"": [""Between 01-15 /12"", ""Between 01-15/12""], ""3"": [""Between 16- 31/12"", ""Between 16-31/12""], ""4"": [""Between  01-15/01"", ""Between 01-15/01""], ""5"": [""Between 16- 31/01"", ""Between 16-31/01""], ""6"": [""Between  01-28/02"", ""Between 01-28/02""]}"
s2q13_v2,2.13 Density in Percentage,int16,,0,0,0,0,11684,0,0,,"s2q13 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf)",,
s2q14_v3,2.14 Density range,int8,"1=10-20%, 2=21-30%, 3=31-40%, 4=41-50%, 5=51-60% …",10,0,0,0,11684,0,0,,"s2q14 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf), s2q14_v2 (2018_A_lsf, 2018_B_lsf, 2018_B_ssf, 2018_C_ssf)",,
