scope,wave,native,clean_name,clean_label,native_label
pooled:CFSVA_pooled_household.dta,2009,s10q1p,cfsva_shock_theft_income_earning,CFSVA 2009: Shock: theft of income-earning assets,10.1.O.Kwibwa ibyazanira urugo amafaranga
pooled:CFSVA_pooled_household.dta,2009,s10q1q,cfsva_umutekano_mucye_urugomo,CFSVA 2009: Umutekano mucye/urugomo,10.1.P.Umutekano mucye/urugomo
pooled:CFSVA_pooled_household.dta,2009,s10q1r,cfsva_urubuga,CFSVA 2009: Urubuga,10.1.Q.Urubuga
pooled:CFSVA_pooled_household.dta,2009,s10q1s,cfsva_ibindi,CFSVA 2009: Ibindi,10.1.R.Ibindi
pooled:CFSVA_pooled_household.dta,2006,s11,cfsva_people_living_household,CFSVA 2006: How many people are currently living in your household?,1.1 How many people are currently living in your household?
pooled:CFSVA_pooled_household.dta,2006,s110a,cfsva_education_hh_head_sp_2006,CFSVA 2006: What is the level of education of the household head sp,1.10 What is the level of education of the household head sp
pooled:CFSVA_pooled_household.dta,2006,s110b,cfsva_education_hh_head_s110b,CFSVA 2006: What is the level of education of the household head sp,1.10 What is the level of education of the household head sp
pooled:CFSVA_pooled_household.dta,2006,s1112,cfsva_programme,CFSVA 2006: How did the programme,How did the programme
pooled:CFSVA_pooled_household.dta,2006,s1113,cfsva_infrastructure,CFSVA 2006: How did the infrastructure,How did the infrastructure
pooled:CFSVA_pooled_household.dta,2006,s1114,cfsva_none_hh_participated_2006,CFSVA 2006: If none of your household members participated in any cash,If none of your household members participated in any cash
pooled:CFSVA_pooled_household.dta,2006,s111af,cfsva_comple_hh_demographics,CFSVA 2006: A Comple this household's demographics Female,1.11 a Comple this household's demographics Female
pooled:CFSVA_pooled_household.dta,2006,s111am,cfsva_complete_household_male,CFSVA 2006: A Complete this household's demographics Male,1.11 a Complete this household's demographics Male
pooled:CFSVA_pooled_household.dta,2006,s111bf,cfsva_b_complete_hh_demographics,CFSVA 2006: B Complete this household's demographics Female,1.11 b Complete this household's demographics Female
pooled:CFSVA_pooled_household.dta,2006,s111bm,cfsva_b_completete_hh,CFSVA 2006: B Completete this household's demographics Male,1.11 b Completete this household's demographics Male
pooled:CFSVA_pooled_household.dta,2006,s111ef,cfsva_complete_household_female,CFSVA 2006: E Complete this household's demographics Female,1.11 e Complete this household's demographics Female
pooled:CFSVA_pooled_household.dta,2006,s111em,cfsva_complete_household_s111em,CFSVA 2006: E Complete this household's demographics Male,1.11 e Complete this household's demographics Male
pooled:CFSVA_pooled_household.dta,2006,s111ff,cfsva_f_complete_female,CFSVA 2006: F Complete this household's demographics Female,1.11 f Complete this household's demographics Female
pooled:CFSVA_pooled_household.dta,2006,s111fm,cfsva_f_complete_male,CFSVA 2006: F Complete this household's demographics Male,1.11 f Complete this household's demographics Male
pooled:CFSVA_pooled_household.dta,2006,s111gf,cfsva_complete_household_s111gf,CFSVA 2006: G Complete this household's demographics Female,1.11 g Complete this household's demographics Female
pooled:CFSVA_pooled_household.dta,2006,s111gm,cfsva_complete_household_s111gm,CFSVA 2006: G Complete this household's demographics Male,1.11 g Complete this household's demographics Male
pooled:CFSVA_pooled_household.dta,2006,s112a,cfsva_household_died_last_mon,CFSVA 2006: Has any member of your household died in the last 6 mon,1.12 Has any member of your household died in the last 6 mon
pooled:CFSVA_pooled_household.dta,2006,s115,cfsva_programme_benefit_hh,CFSVA 2006: How did the programme benefit your household,"How did the programme benefit your household,,"
pooled:CFSVA_pooled_household.dta,2006,s116,cfsva_infrastructure_created,CFSVA 2006: How did the infrastructure created benefit your household,How did the infrastructure created benefit your household
