variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
q1104_1,:Did you experience any unusual situation during the last 12?,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1104_2,How many shocks,int8,,0,0,0,4601,0,0,0,0,,,,
q1105_1_1,First shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,4601,0,0,0,0,,,,
q1105_1_2,Specify other shocks,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
q1105_2_1,Second shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,4599,0,0,0,0,,,,
q1105_2_2,Specify other,int8,,0,0,0,4553,0,0,0,0,,,,
q1105_3_1,Third shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,4601,0,0,0,0,,,,
q1105_3_2,Specify other,int8,,0,0,0,4599,0,0,0,0,,,,
q1105_4_1,Fourth shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,4601,0,0,0,0,,,,
q1105_4_2,Specify other,int8,,0,0,0,4599,0,0,0,0,,,,
qa1106_1,First shock - Reported shock:_,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,4601,0,0,0,0,,,,
qa1106_2,First shock - Specify other:_,int8,,0,0,0,4373,0,0,0,0,,,,
qa1106_3,First shock - Did [shock] create a decrease or loss of income in cash or in-kind,int8,"0=No, 1=Yes",2,0,0,4600,0,0,0,0,,,,
qa1106_4,First shock - Did [shock] create a decrease or loss of assets or belongings?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qa1106_5,First shock - Did [shock] create an unusual decrease in your household's ability,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qa1106_6,First shock - What did the household do to compensate for those losses?:_,int8,"1=Have household members eat at relatives' or neighbours', 2=Reduce adult consumption so that children can eat, 3=Feed working members at the expense of non working members, 4=Reduce number of meals eaten per day, 5=Go entire day without eating …",18,0,0,4601,0,0,0,0,,,,
qa1106_7,First shock - Has the household recovered from those losses?:_,int8,"0=No, 1=Yes, 2=Partially",3,0,0,4601,0,0,0,0,,,,
qb1106_1,Second shock - Reported shock:_,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,4601,0,0,0,0,,,,
qb1106_2,Second shock - Specify other:_,int8,,0,0,0,4557,0,0,0,0,,,,
qb1106_3,Second shock - Did [shock] create a decrease or loss of income in cash or in-kin,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qb1106_4,Second shock - Did [shock] create a decrease or loss of assets or belongings?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qb1106_5,Second shock - Did [shock] create an unusual decrease in your household's abilit,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qb1106_6,Second shock - What did the household do to compensate for those losses?:_,int8,"1=Have household members eat at relatives' or neighbours', 2=Reduce adult consumption so that children can eat, 3=Feed working members at the expense of non working members, 4=Reduce number of meals eaten per day, 5=Go entire day without eating …",18,0,0,4601,0,0,0,0,,,,
qb1106_7,Second shock - Has the household recovered from those losses?:_,int8,"0=No, 1=Yes, 2=Partially",3,0,0,4601,0,0,0,0,,,,
q1201_1,Do you know what your household's UBUDEHE category is?:,int8,"0=No, 1=Yes",2,0,0,4598,0,0,0,0,,,,
q1202,Did your household or one (or more) of its members benefit from any in kind food,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qa1203_1,Food for school children (eaten at school or take-home) - Was this aid provided?,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qa1203_2_1,Food for school children (eaten at school or take-home) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qa1203_2_2,Food for school children (eaten at school or take-home) - Specify other:_,int8,,0,0,0,4601,0,0,0,0,,,,
qb1203_1,Food for pregnant and breastfeeding women and small children (MCHN) - Was this a,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qb1203_2_1,Food for pregnant and breastfeeding women and small children (MCHN) - Who provid,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qb1203_2_2,Food for pregnant and breastfeeding women and small children (MCHN) - Specify ot,int8,,0,0,0,4597,0,0,0,0,,,,
qc1203_1,Food for work - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qc1203_2_1,Food for work - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qc1203_2_2,Food for work - Specify other:_,int8,,0,0,0,4601,0,0,0,0,,,,
qd1203_1,Food for training - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qd1203_2_1,Food for training - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qd1203_2_2,Food for training - Specify other:_,int8,,0,0,0,4601,0,0,0,0,,,,
qe1203_1,One cup of milk per child - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qe1203_2_1,One cup of milk per child - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qe1203_2_2,One cup of milk per child - Specify other:_,int8,,0,0,0,4601,0,0,0,0,,,,
qf1203_1,Free food distributions - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qf1203_2_1,Free food distributions - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qf1203_2_2,Free food distributions - Specify other:_,int8,,0,0,0,4601,0,0,0,0,,,,
qg1203_1,"Other food assistance programs, specify ___________________ - Was this aid provi",int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qg1203_2_1,"Other food assistance programs, specify ___________________ - Who provided it?:_",int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qg1203_2_2,"Other food assistance programs, specify ___________________ - Specify other:_",int8,,0,0,0,4599,0,0,0,0,,,,
q1204_1,Social security/caisse sociale,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1204_2,VUP direct support,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1204_3,VUP public works,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1204_4,VUP access to financial services,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1204_5,UBUDEHE credit scheme/loan (individual or group),int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1205,Did your household or one (or more) of its members benefit from any other non-fo,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qa1206_1,Access to credit/loans for agricultural/livestock related activities (including,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qa1206_2_1,Access to credit/loans for agricultural/livestock related activities (including,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qa1206_2_2,Access to credit/loans for agricultural/livestock related activities (including,int8,,0,0,0,4599,0,0,0,0,,,,
qb1206_1,Access to credit/loans for Other NON agricultural/livestock related activities (,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qb1206_2_1,Access to credit/loans for Other NON agricultural/livestock related activities (,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qb1206_2_2,Access to credit/loans for Other NON agricultural/livestock related activities (,int8,,0,0,0,4598,0,0,0,0,,,,
qc1206_1,"Agricultural input assistance (tools, seeds, fertilizer, etc.) - Was this assist",int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qc1206_2_1,"Agricultural input assistance (tools, seeds, fertilizer, etc.) - Who provided it",int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qc1206_2_2,"Agricultural input assistance (tools, seeds, fertilizer, etc.) - Specify other:_",int8,,0,0,0,4601,0,0,0,0,,,,
qd1206_1,Training and technical assistance in improved agricultural/livestock practices -,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qd1206_2_1,Training and technical assistance in improved agricultural/livestock practices -,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qd1206_2_2,Training and technical assistance in improved agricultural/livestock practices -,int8,,0,0,0,4599,0,0,0,0,,,,
qe1206_1,Large Livestock (eg. cow) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qe1206_2_1,Large Livestock (eg. cow) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qe1206_2_2,Large Livestock (eg. cow) - Specify other:_,int8,,0,0,0,4592,0,0,0,0,,,,
qf1206_1,Small livestock (eg. chicken rabbits…) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qf1206_2_1,Small livestock (eg. chicken rabbits…) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qf1206_2_2,Small livestock (eg. chicken rabbits…) - Specify other:_,int8,,0,0,0,4597,0,0,0,0,,,,
qg1206_1,Fish ponds - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qg1206_2_1,Fish ponds - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qg1206_2_2,Fish ponds - Specify other:_,int8,,0,0,0,4601,0,0,0,0,,,,
qh1206_1,Veterinary services - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qh1206_2_1,Veterinary services - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qh1206_2_2,Veterinary services - Specify other:_,int8,,0,0,0,4601,0,0,0,0,,,,
qi1206_1,For education (e.g. school materials) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qi1206_2_1,For education (e.g. school materials) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qi1206_2_2,For education (e.g. school materials) - Specify other:_,int8,,0,0,0,4596,0,0,0,0,,,,
qj1206_1,Direct transfers (other than VUP) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qj1206_2_1,Direct transfers (other than VUP) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qj1206_2_2,Direct transfers (other than VUP) - Specify other:_,int8,,0,0,0,4597,0,0,0,0,,,,
qk1206_1,medical services (including mutuelle sante) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qk1206_2_1,medical services (including mutuelle sante) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qk1206_2_2,medical services (including mutuelle sante) - Specify other:_,int8,,0,0,0,4590,0,0,0,0,,,,
ql1206_1,Construction/building materials - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
ql1206_2_1,Construction/building materials - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
ql1206_2_2,Construction/building materials - Specify other:_,int8,,0,0,0,4600,0,0,0,0,,,,
qm1206_1,Water and/or sanitation - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qm1206_2_1,Water and/or sanitation - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qm1206_2_2,Water and/or sanitation - Specify other:_,int8,,0,0,0,4598,0,0,0,0,,,,
qn1206_1,"Other, specify _____________________ - Was this assistance provided?:_",int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qn1206_2_1,"Other, specify _____________________ - Who provided it?:_",int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,4601,0,0,0,0,,,,
qn1206_2_2,"Other, specify _____________________ - Specify other:_",int8,,0,0,0,4598,0,0,0,0,,,,
q1301_1,Where there women to be measured?,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1301_2,Where there children to be measured?,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
hh_sizecheck,,int8,,0,0,0,4600,0,0,0,0,,,,
dependents,dependents in the HH,int8,,0,0,0,4600,0,0,0,0,,,,
perc_dependents,% dependents in the HH,double,,0,0,0,4599,0,0,0,0,,,,
males,males in the HH,int8,,0,0,0,4601,0,0,0,0,,,,
csi_reduced,CSI reduced,int8,,0,0,0,4600,0,0,0,0,,,,
starches,,int8,,0,0,0,4598,0,0,0,0,,,,
pulses,,int8,,0,0,0,4598,0,0,0,0,,,,
vegs,,int8,,0,0,0,4598,0,0,0,0,,,,
fruits,,int8,,0,0,0,4598,0,0,0,0,,,,
protein,,int8,,0,0,0,4598,0,0,0,0,,,,
oil,,int8,,0,0,0,4597,0,0,0,0,,,,
sugar,,int8,,0,0,0,4598,0,0,0,0,,,,
milk,,int8,,0,0,0,4598,0,0,0,0,,,,
fcs,Food Consumption Score,double,,0,0,0,4597,4058,0,0,0,,,,
females,females in the HH,int8,,0,0,0,4600,0,0,0,0,,,,
perc_females,% females in the HH,double,,0,0,0,4599,0,0,0,0,,,,
norma_weight,Normalized weight,double,,0,0,0,4601,0,0,0,0,,,,
corr_weigh,Corrected normalized wieght,double,,0,0,0,4601,0,0,0,0,,,,
corr_norm_weigh,,double,,0,0,0,4601,0,0,0,0,,,,
activity1,,int8,,0,0,0,4596,0,0,0,0,,,,
activity2,,int8,,0,0,0,4594,0,0,0,0,,,,
activity3,,int8,,0,0,0,4582,0,0,0,0,,,,
activity1_value,,double,,0,0,0,4596,0,0,0,0,,,,
activity2_value,,double,,0,0,0,2830,0,0,0,0,,,,
activity3_value,,double,,0,0,0,2821,0,0,0,0,,,,
total,,int8,,0,0,0,4601,0,0,0,0,,,,
act01,Agriculture production,double,,0,0,0,4596,0,0,0,0,,,,
act02,agriculture work,double,,0,0,0,4593,0,0,0,0,,,,
act03,livestock raising,double,,0,0,0,4591,0,0,0,0,,,,
act04,fishing hunting,double,,0,0,0,4601,0,0,0,0,,,,
act05,PS products from fishing and farming,double,,0,0,0,4601,0,0,0,0,,,,
act06,unskilled daily labour,double,,0,0,0,4592,0,0,0,0,,,,
act07,skilled labour,double,,0,0,0,4601,0,0,0,0,,,,
act08,PS agriculture products,double,,0,0,0,4601,0,0,0,0,,,,
act09,PS livestocks products,double,,0,0,0,4601,0,0,0,0,,,,
act10,PS livestocks,int8,,0,0,0,4601,0,0,0,0,,,,
act11,informal sale petty trade,double,,0,0,0,4596,0,0,0,0,,,,
act12,handicrafts,double,,0,0,0,4600,0,0,0,0,,,,
act13,transport,double,,0,0,0,4599,0,0,0,0,,,,
act14,salaried pension,double,,0,0,0,4601,0,0,0,0,,,,
act15,own business,int8,,0,0,0,4601,0,0,0,0,,,,
act16,VUP public works,int8,,0,0,0,4600,0,0,0,0,,,,
act17,VUP direct transfer,int8,,0,0,0,4601,0,0,0,0,,,,
act18,remittances,double,,0,0,0,4601,0,0,0,0,,,,
act19,begging,int8,,0,0,0,4601,0,0,0,0,,,,
act20,others,double,,0,0,0,4597,0,0,0,0,,,,
ps_hunting,PS products from fishing and farming,double,,0,0,0,4601,0,0,0,0,,,,
hunting_fishing,fishing hunting,double,,0,0,0,4601,0,0,0,0,,,,
livestock,livestock raising,double,,0,0,0,4591,0,0,0,0,,,,
ps_agri,PS agriculture products,double,,0,0,0,4601,0,0,0,0,,,,
ps_livestock_products,PS livestocks products,double,,0,0,0,4601,0,0,0,0,,,,
ps_livestock,PS livestocks,int8,,0,0,0,4601,0,0,0,0,,,,
vup_public,VUP public works,int8,,0,0,0,4600,0,0,0,0,,,,
vup_transfers,VUP direct transfer,int8,,0,0,0,4601,0,0,0,0,,,,
begging,begging,int8,,0,0,0,4601,0,0,0,0,,,,
others,others,double,,0,0,0,4597,0,0,0,0,,,,
agriculture,Agriculture production,double,,0,0,0,4596,0,0,0,0,,,,
agri_work,agriculture work,double,,0,0,0,4593,0,0,0,0,,,,
unskilled,unskilled daily labour,double,,0,0,0,4592,0,0,0,0,,,,
skilled,skilled labour,double,,0,0,0,4601,0,0,0,0,,,,
informal_sale,informal sale petty trade,double,,0,0,0,4596,0,0,0,0,,,,
handicrafts,handicrafts,double,,0,0,0,4600,0,0,0,0,,,,
transport,transport,double,,0,0,0,4599,0,0,0,0,,,,
salaried,salaried pension,double,,0,0,0,4601,0,0,0,0,,,,
business,own business,int8,,0,0,0,4601,0,0,0,0,,,,
remittances,remittances,double,,0,0,0,4601,0,0,0,0,,,,
vup_activity,COMPUTE VUP_activity=VUP_public + vup_transfers,int8,,0,0,0,4600,0,0,0,0,,,,
others_activity,COMPUTE others_activity=begging + others,double,,0,0,0,4597,0,0,0,0,,,,
livestock_hunting,COMPUTE livestock_hunting=livestock + hunting_fishing,double,,0,0,0,4591,0,0,0,0,,,,
purchase_sale,COMPUTE Purchase_sale=PS_agri + PS_livestock_products + PS_livestock + PS_huntin,double,,0,0,0,4601,0,0,0,0,,,,
improved_light,improved source of light (electricity battery vs others),int8,"0=no, 1=yes",2,0,0,4601,0,0,0,0,,,,
improved_roof,improved roof,int8,"0=no, 1=yes",2,0,0,4601,0,0,0,0,,,,
improved_floor,improved floor,int8,"0=no, 1=yes",2,0,0,4599,0,0,0,0,,,,
improved_toilet,improved toilet,int8,"0=no, 1=yes",2,0,0,4601,4058,0,0,0,,,,
improved_water,improved water,int8,"0=no, 1=yes",2,0,0,4599,4042,0,0,0,,,,
improved_wall,improved wall,int8,,0,0,0,4519,0,0,0,0,,,,
fac1_1,REGR factor score   1 for analysis 1,double,,0,0,0,4519,0,0,0,0,,,,
pc_income,per capita monthly income declared,double,,0,0,0,3497,0,0,0,0,,,,
pc_income_year,,double,,0,0,0,3497,0,0,0,0,,,,
q303_2,How much in rwanda francs,int32,,0,0,0,3527,0,0,0,0,,,,
independents,independents in the HH,int8,,0,0,0,4601,0,0,0,0,,,,
hh_size,HH size (computed),int8,,0,0,0,4600,0,0,0,0,,,,
c_stunted,stunting. flags as missing,int8,"0=No, 1=Severe, 2=Moderate",3,0,0,4384,0,0,0,0,,,,
c_underweight,underweighted. flags as missings,int8,"0=No, 1=Severe, 2=Moderate",3,0,0,4414,0,0,0,0,,,,
c_wasted,wasting. flags as missings,int8,"0=No, 1=Severe, 2=Moderate",3,0,0,4382,0,0,0,0,,,,
wasted_muac,,int8,"0=No, 1=Severe, 2=Moderate",3,0,0,4417,0,0,0,0,,,,
child_age_groups2,,int8,"1=< 1 year, 2=12-23 months, 3=24 - 35 months, 4=36 - 47, 5=48 - 59",5,0,0,4421,0,0,0,0,,,,
fdgrp1_consumed,"consumed group 1 (grains, roots, tubers)",int8,"0=did not consume, 1=consumed",2,0,0,1287,0,0,0,0,,,,
fdgrp2_consumed,"consumed group 2 (legumes, nuts)",int8,"0=did not consume, 1=consumed",2,0,0,1287,0,0,0,0,,,,
fdgrp3_consumed,consumed group 3 (dairy),int8,"0=did not consume, 1=consumed",2,0,0,1287,0,0,0,0,,,,
fdgrp4_consumed,consumed group 4 (meat/fish),int8,"0=did not consume, 1=consumed",2,0,0,1287,0,0,0,0,,,,
fdgrp5_consumed,consumed group 5 (eggs),int8,"0=did not consume, 1=consumed",2,0,0,1287,0,0,0,0,,,,
fdgrp6_consumed,consumed group 6 (vit a rich foods),int8,"0=did not consume, 1=consumed",2,0,0,1287,0,0,0,0,,,,
fdgrp7_consumed,"consumed group 7 (veg, fruits)",int8,"0=did not consume, 1=consumed",2,0,0,1287,0,0,0,0,,,,
diet_diversity,diet diversity (number of groups consumed),int8,,0,0,0,1287,0,0,0,0,,,,
min_diet_diversity,minimum dietary diversity,int8,"0=< 4 groups consumed, 1=>= 4 groups consumed",2,0,0,1287,0,0,0,0,,,,
age_cat_broad,Age categories,int8,"1=<1 year, 2=12-23 months, 3=24-35 months, 4=36-47 months, 5=48-49 months",5,0,0,4599,0,0,0,0,,,,
age_cat_diet,Age categories for diet calculations,int8,"1=6-11 months, 2=12-17 months, 3=18-23 months",3,0,0,1389,0,0,0,0,,,,
cu2,,int8,"0=Above 2, 1=Child under 11 months, 2=Child between 12 and 23 months",3,0,0,4601,0,0,0,0,,,,
cu_6m,Age groups for children under 6 months,int8,"1=Under 2 months, 2=2 to 4 months, 3=4 to 6 months",3,0,0,178,0,0,0,0,,,,
bf_ever,Child under 2 ever breastfead,int8,"0=No, 1=Yes",2,0,0,4521,0,0,0,0,,,,
bf_1h,Child under 2 breastfead within 1 hour from birth,int8,"0=No, 1=Yes",2,0,0,1488,0,0,0,0,,,,
milk_freq,Milk feeding frequency,int8,"0=<2 per day, 1=at least 2 per day",2,0,0,4601,0,0,0,0,,,,
meal_freq,Meal frequency,int8,,0,0,0,1096,0,0,0,0,,,,
min_meal_freq,Minimum meal frequency,int8,,0,0,0,1375,0,0,0,0,,,,
feed_freq,Is Meal frequency adequate?,int8,"0=Inadequate: child not getting minimum required meal frequency, 1=Adequate: child getting at least minimum required meal frequency",2,0,0,1096,0,0,0,0,,,,
acc_diet_score,,int8,,0,0,0,4308,0,0,0,0,,,,
acc_diet,Minimum acceptable diet,int8,"0=Minimum acceptable diet not met, 1=Met minimum acceptable diet",2,0,0,1206,0,0,0,0,,,,
iron_food,Child consumed iron rich food,int8,"0=No, 1=Yes",2,0,0,1189,0,0,0,0,,,,
int_urban,Interviewed urban status,int8,"1=Rural, 2=Urban, 3=Slum",3,0,0,4601,0,0,0,0,,,,
agro_climat,Agro-Climatic Zones,int8,"1=Bugarama plane, 2=Cyangugu and surrounding areas, 3=Areas bordering Lake Kivu, 4=Volcanic planes at high altitude, 5=Congo-Nile basin …",10,0,0,4601,0,0,0,0,,,,
bf_excl,,int8,,0,0,0,178,0,0,0,0,,,,
fever,Child had fever in past 2 weeks,int8,"0=No, 1=Yes",2,0,0,4594,0,0,0,0,,,,
cough,Child had caugh in past 2 weeks,int8,"0=No, 1=Yes",2,0,0,4594,0,0,0,0,,,,
diarrhoea,Child had diarrhoea in past 2 weeks,int8,"0=No, 1=Yes",2,0,0,4594,0,0,0,0,,,,
age_nut,Age groups for nutrition indicators,int8,"1=6-11 months, 2=12 to 23 months, 3=24 to 35 months, 4=36 to 47 months, 5=48 to 59 months",5,0,0,4397,0,0,0,0,,,,
age_edprs,Age groups for EDPRS,int8,"1=Btw 6 and 23 months, 2=Btw 24 months and 5 years",2,0,0,4397,0,0,0,0,,,,
agegroup,,int8,,0,0,0,4601,0,0,0,0,,,,
rwanda_lyr,Rwanda,int8,1=Rwanda,1,0,0,0,4058,0,0,0,,,,
urban_lyr,Urban status,int8,"1=Urban, 2=Rural",2,0,0,0,4058,0,0,0,,,,
s0_c_prov_lyr,Province,int8,"1=Kigali city, 2=Southern, 3=Western, 4=Northern, 5=Eastern",5,0,0,0,4058,0,0,0,,,,
s0_d_dist_lyr,District,int16,"101=Nyarugenge, 102=Gasabo, 103=Kicukiro, 201=Nyanza, 202=Gisagara …",30,0,0,0,4058,0,0,0,,,,
livezone_lyr,Livelihood zone,int8,"0=Kigali city, 1=Lake Kivu Coffee Zone, 2=West Congo-Nile Crest Tea Zone, 3=Northwest Volcanic Irish Potato Zone, 4=East Congo-Nile Highland Subsistence Farming Zone …",13,0,0,0,4058,0,0,0,,,,
fs_final_lyr_lyr,Final CARI food security index,int8,"1=Food secure, 2=Marginally food secure, 3=Moderately food insecure, 4=Severely food insecure",4,0,0,0,4058,0,0,0,,,,
wi_cat_lyr_lyr,Wealth Index groups,int8,"1=Poorest, 2=Poor, 3=Medium, 4=Wealth, 5=Wealthies",5,0,0,0,4058,0,0,0,,,,
wasted_global,Child wasted,int8,"0=No, 1=Yes",2,0,0,0,3810,0,0,0,,,,
stunted_global,Child stunted,int8,"0=No, 1=Yes",2,0,0,0,3810,0,0,0,,,,
underweight_global,Child underweight,int8,"0=No, 1=Yes",2,0,0,0,3810,0,0,0,,,,
chn_key,KEY,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
fs_final,Household food security situation,int8,"1=Food secure, 2=Marginally food secure, 3=Moderately food insecure, 4=Severely food insecure",4,0,0,0,4058,6736,0,0,,,2015: Final CARI food security index,
who_flag,,int8,"0=No flag, 1=Flagged",2,0,0,0,4058,0,0,0,,,,
normalized_weight_child,Normalized weight,double,,0,0,0,0,4058,0,0,0,,,,
s0_b_date,Interview date,double,,0,0,0,0,4058,6736,5776,0,,,,
livezone,Livelihoodzone,int8,"0=Kigali city, 1=Lake Kivu Coffee Zone, 2=West Congo-Nile Crest Tea Zone, 3=Northwest Volcanic Irish Potato Zone, 4=East Congo-Nile Highland Subsistence Farming Zone …",13,0,0,0,4058,0,0,0,,,,
fcg,Food Consumption Group,int8,"1=Poor Consumption, 2=Borderline Consumption, 3=Acceptable Consumption",3,0,0,0,4058,0,0,0,,,,
wi,Wealth Index,double,,0,0,0,0,4058,0,0,0,,,,
wi_cat,Household wealth index,int8,"1=Poorest, 2=Poor, 3=Medium, 4=Wealthy, 5=Wealthiest",5,0,0,0,4058,6736,0,0,,,2015: Wealth Index groups,
csi,Reduced coping strategies index,int8,,0,0,0,0,4058,0,0,0,,,,
wasted,Prevalence of global acute malnutrition,int8,"0=Normal, 1=Moderate, 2=Severe",3,0,0,0,3810,0,0,0,,wasted_v2 (2012),,
stunted,Prevalence of stunting,int8,"0=Normal, 1=Moderate, 2=Severe",3,0,0,0,3810,0,0,0,,stunted_v2 (2012),,
s13_01_v2,[2015..2015 version] How many women between 15 and 49 years old are present i,int8,,0,0,0,0,4058,0,0,0,,"s13_01 (2021, 2024)",,
s14_01_v2,[2015..2015 version] How many children under 5 years old (6 - 59.98 months) a,int8,,0,0,0,0,4058,0,0,0,,s14_01 (2018),,
