variable,label,type,value_labels,n_value_labels,n_2009,n_2012,n_2018,n_2021,source,versions,label_variants,value_label_conflicts
q801_4,Fourth:What are the principal problems that the households in this village faced,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,7,0,0,,,,
total_informa,Computed total number of informants,int8,,0,0,743,0,0,,,,
q_altitude,Village altitude in meters,int16,,0,0,748,0,0,,,,
q_sfi,Village soil felitility index,double,,0,0,748,0,0,,,,
q_roads,Distance from village to main roads in meters,double,,0,0,748,0,0,,,,
q_se,Village soil erosion,double,,0,0,747,0,0,,,,
q_school,Estimated time from village to the nearest primary school,int16,,0,0,747,0,0,,,,
q_hospital,Estimated time from village to the nearest hospital,int16,,0,0,747,0,0,,,,
q_market,Estimated time from village to the nearest market,int16,,0,0,747,0,0,,,,
q203_4,Structured Umudugudu,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
key,Village unique identification,string,,0,427,748,987,900,,,,
s0_b_date,Interview date,double,,0,0,0,987,900,,,,
s0_f_cell,Cell,int32,,0,0,0,987,0,,,,
s1_01,Number of informants:,int8,,0,0,0,987,900,,,,
s1_01_2,How many women are in this group?,int8,,0,0,0,987,900,,,,
s1_01_3,How many men are in this group?,int8,,0,0,0,987,900,,,,
s1_01_4,How many of these informants are local leaders?,int8,,0,0,0,987,900,,,,
s1_01_5,How many of these informants are teachers,int8,,0,0,0,987,900,,,,
s1_01_6,How many of these informants are health care workers,int8,,0,0,0,987,900,,,,
s1_01_7,How many of these informants are farmers,int8,,0,0,0,987,900,,,,
s2_01,How many households does this village have?,int16,,0,0,0,987,900,,,,
s2_03,Does any of the following safetynets schemes apply to this village,string,,0,427,748,987,900,,,,
s3_02,Is there any functioning primary school in this village?,int8,"0=No, 1=Yes",2,0,0,987,900,,,,
s3_02_2,"If not, then how far away on average is the nearest functioning primary school?",int16,,0,0,0,745,662,,,,
s3_03,Is there a functioning health facility in the village?,int8,"0=No, 1=Yes",2,0,0,987,900,,,,
s3_03_2,"If not, then how far away on average is the nearest functioning health facility?",int16,,0,0,0,889,819,,,,
s3_03_2_2,"For quality control, repeat the previous value?",int16,,0,0,0,889,819,,,,
s4_01,Is there a market in this village?,int8,"0=No, 1=Yes",2,0,0,987,900,,,,
s4_02_2,Is this the main market your community mostly interacts with?,int8,"0=No, 1=Yes",2,0,0,38,32,,,,
s4_02_3,"If this is not the main market for the village or there is no market at all, how",int16,,0,0,0,955,871,,,,
s4_02_3_2,"For quality control, repeat the previous value?",int16,,0,0,0,954,871,,,,
s4_02_4,Is the road to the main market for your community accessible all year round usin,int8,"0=No, 1=Yes",2,0,0,987,900,,,,
s4_02_5,"If no, which months is it not accessible?",string,,0,427,748,987,900,,,,
