# LFS checks report

Generated by 03_checks.py.

## A. Python pooled file vs old Stata outputs (3 Jul 2026)

| section | statistic | Python | reference | result |
| B | 2019 sum hhsize | 81,778 | 81,778 | PASS |
| B | 2020 household-interviews | 8,986 | 8,986 | PASS |
| B | 2020 sum hhsize | 37,319 | 37,319 | PASS |
| B | 2021 household-interviews | 17,085 | 17,085 | PASS |
| B | 2021 sum hhsize | 71,947 | 71,947 | PASS |
| B | 2022 household-interviews | 16,572 | 16,572 | PASS |
| B | 2022 sum hhsize | 70,424 | 70,424 | PASS |
| B | 2023 household-interviews | 17,756 | 17,756 | PASS |
| B | 2023 sum hhsize | 71,849 | 71,849 | PASS |
| B | 2024 household-interviews | 25,867 | 25,867 | PASS |
| B | 2024 sum hhsize | 102,562 | 102,562 | PASS |
| B | 2025 household-interviews | 25,382 | 25,382 | PASS |
| B | 2025 sum hhsize | 100,852 | 100,852 | PASS |

## C. Weighted working-age population vs published NISR figures

| section | statistic | Python | published | result |
|---|---|---:|---:|---|
| C | 2018 weighted 16+ pop | 6,966,096 | 6,966,096 | PASS |
| C | 2019 weighted 16+ pop | 7,231,536 | 7,231,536 | PASS |
| C | 2020 weighted 16+ pop | 7,472,601 | 7,472,601 | PASS |
| C | 2021 weighted 16+ pop | 7,718,871 | 7,718,871 | PASS |
| C | 2022 weighted 16+ pop | 7,963,586 | 7,963,586 | PASS |
| C | 2024 weighted 16+ pop | 8,303,568 | 8,303,568 | PASS |
| C | 2025 weighted 16+ pop | 8,541,210 | 8,541,210 | PASS |

## D. Household file sanity

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| D | 2017 sum hhsize == person rows with hh key | 77,761 | 77,761 | PASS |
| D | 2017 household-interviews | 17,938 | 17,938 | PASS |
| D | 2017 household-interviews with exactly one head (0 heads: 0, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2017 household-interviews with head_sex missing | 0 | 0 | PASS |
| D | 2017 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2018 sum hhsize == person rows with hh key | 76,670 | 76,670 | PASS |
| D | 2018 household-interviews | 17,861 | 17,861 | PASS |
| D | 2018 household-interviews with exactly one head (0 heads: 1, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2018 household-interviews with head_sex missing | 1 | 1 | PASS |
| D | 2018 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2019 sum hhsize == person rows with hh key | 81,778 | 81,778 | PASS |
| D | 2019 household-interviews | 19,325 | 19,325 | PASS |
| D | 2019 household-interviews with exactly one head (0 heads: 2, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2019 household-interviews with head_sex missing | 2 | 2 | PASS |
| D | 2019 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2020 sum hhsize == person rows with hh key | 37,319 | 37,319 | PASS |
| D | 2020 household-interviews | 8,986 | 8,986 | PASS |
| D | 2020 household-interviews with exactly one head (0 heads: 2, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2020 household-interviews with head_sex missing | 2 | 2 | PASS |
