dataset,waves,file,h_variable,source_variables,rule,level,quality,note
LFS,2018,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2018,LFS_pooled_person.dta,h_isco1,indd01,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd01 (ISCO-08 major group, main job)"
LFS,2019,LFS_pooled_person.dta,h_relation,a02,"1->1; 2->2; 3,4->3; 5,6,7,8,9->4; 10,11->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,98/99 don't know/missing -> missing
LFS,2019,LFS_pooled_person.dta,h_marital,a05,"6->1; 1,2,3->2; 4,5->3; 7->4","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,asked of members 12+
LFS,2019,LFS_pooled_person.dta,h_educ,b02a,"1,2->0; 3->1; 4,5->2; 6->3","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+; level attended/attending
LFS,2019,LFS_pooled_person.dta,h_attend,b02a,b02a=1 (none)->0; 2-6->1,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,14+
LFS,2019,LFS_pooled_person.dta,h_literacy,b06,1->1; 2->0,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+
LFS,2019,LFS_pooled_person.dta,h_lfstatus,status1,1->1; 2->2; 3->3,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,NISR status1; ages 16+ (2017-19) / 14+ (2020+)
LFS,2019,LFS_pooled_person.dta,h_empstat,d05,"1,2->1; 3->2; 4->3; 6->4; 5,7->5","employment group: LFS, Census, EICV (+ AHS where asked)",exact,
LFS,2019,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2019,LFS_pooled_person.dta,h_isco1,indd01,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd01 (ISCO-08 major group, main job)"
LFS,2020,LFS_pooled_person.dta,h_relation,a02,"1->1; 2->2; 3,4->3; 5,6,7,8,9->4; 10,11->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,98/99 don't know/missing -> missing
LFS,2020,LFS_pooled_person.dta,h_marital,(not available),,"all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",missing,asked of members 12+
LFS,2020,LFS_pooled_person.dta,h_educ,(not available),,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",missing,asked of members 14+; level attended/attending
LFS,2020,LFS_pooled_person.dta,h_attend,(none),b02a=1 (none)->0; 2-6->1,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",missing,14+
LFS,2020,LFS_pooled_person.dta,h_literacy,(not available),,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",missing,asked of members 14+
LFS,2020,LFS_pooled_person.dta,h_lfstatus,status1,1->1; 2->2; 3->3,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,NISR status1; ages 16+ (2017-19) / 14+ (2020+)
LFS,2020,LFS_pooled_person.dta,h_empstat,d05,"1,2->1; 3->2; 4->3; 6->4; 5,7->5","employment group: LFS, Census, EICV (+ AHS where asked)",exact,
LFS,2020,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2020,LFS_pooled_person.dta,h_isco1,(not available),,"employment group: LFS, Census, EICV (+ AHS where asked)",missing,"NISR indd01 (ISCO-08 major group, main job)"
LFS,2021,LFS_pooled_person.dta,h_relation,a02,"1->1; 2->2; 3,4->3; 5,6,7,8,9->4; 10,11->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,98/99 don't know/missing -> missing
LFS,2021,LFS_pooled_person.dta,h_marital,a05,"6->1; 1,2,3->2; 4,5->3; 7->4","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,asked of members 12+
LFS,2021,LFS_pooled_person.dta,h_educ,b02a,"1,2->0; 3->1; 4,5->2; 6->3","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+; level attended/attending
LFS,2021,LFS_pooled_person.dta,h_attend,b02a,b02a=1 (none)->0; 2-6->1,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,14+
LFS,2021,LFS_pooled_person.dta,h_literacy,b06,1->1; 2->0,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+
LFS,2021,LFS_pooled_person.dta,h_lfstatus,status1,1->1; 2->2; 3->3,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,NISR status1; ages 16+ (2017-19) / 14+ (2020+)
LFS,2021,LFS_pooled_person.dta,h_empstat,d05,"1,2->1; 3->2; 4->3; 6->4; 5,7->5","employment group: LFS, Census, EICV (+ AHS where asked)",exact,
LFS,2021,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2021,LFS_pooled_person.dta,h_isco1,indd01,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd01 (ISCO-08 major group, main job)"
LFS,2022,LFS_pooled_person.dta,h_relation,a02,"1->1; 2->2; 3,4->3; 5,6,7,8,9->4; 10,11->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,98/99 don't know/missing -> missing
LFS,2022,LFS_pooled_person.dta,h_marital,a05,"6->1; 1,2,3->2; 4,5->3; 7->4","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,asked of members 12+
LFS,2022,LFS_pooled_person.dta,h_educ,b02a,"1,2->0; 3->1; 4,5->2; 6->3","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+; level attended/attending
LFS,2022,LFS_pooled_person.dta,h_attend,b02a,b02a=1 (none)->0; 2-6->1,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,14+
LFS,2022,LFS_pooled_person.dta,h_literacy,b06,1->1; 2->0,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+
LFS,2022,LFS_pooled_person.dta,h_lfstatus,status1,1->1; 2->2; 3->3,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,NISR status1; ages 16+ (2017-19) / 14+ (2020+)
LFS,2022,LFS_pooled_person.dta,h_empstat,d05,"1,2->1; 3->2; 4->3; 6->4; 5,7->5","employment group: LFS, Census, EICV (+ AHS where asked)",exact,
LFS,2022,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2022,LFS_pooled_person.dta,h_isco1,indd01,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd01 (ISCO-08 major group, main job)"
LFS,2023,LFS_pooled_person.dta,h_relation,a02,"1->1; 2->2; 3,4->3; 5,6,7,8,9->4; 10,11->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,98/99 don't know/missing -> missing
LFS,2023,LFS_pooled_person.dta,h_marital,a05,"6->1; 1,2,3->2; 4,5->3; 7->4","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,asked of members 12+
LFS,2023,LFS_pooled_person.dta,h_educ,b02a,"1,2->0; 3->1; 4,5->2; 6->3","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+; level attended/attending
LFS,2023,LFS_pooled_person.dta,h_attend,b02a,b02a=1 (none)->0; 2-6->1,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,14+
LFS,2023,LFS_pooled_person.dta,h_literacy,b06,1->1; 2->0,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+
LFS,2023,LFS_pooled_person.dta,h_lfstatus,status1,1->1; 2->2; 3->3,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,NISR status1; ages 16+ (2017-19) / 14+ (2020+)
LFS,2023,LFS_pooled_person.dta,h_empstat,d05,"1,2->1; 3->2; 4->3; 6->4; 5,7->5","employment group: LFS, Census, EICV (+ AHS where asked)",exact,
LFS,2023,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2023,LFS_pooled_person.dta,h_isco1,indd01,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd01 (ISCO-08 major group, main job)"
LFS,2024,LFS_pooled_person.dta,h_relation,a02,"1->1; 2->2; 3,4->3; 5,6,7,8,9->4; 10,11->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,98/99 don't know/missing -> missing
LFS,2024,LFS_pooled_person.dta,h_marital,a05,"6->1; 1,2,3->2; 4,5->3; 7->4","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,asked of members 12+
LFS,2024,LFS_pooled_person.dta,h_educ,b02a,"1,2->0; 3->1; 4,5->2; 6->3","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+; level attended/attending
LFS,2024,LFS_pooled_person.dta,h_attend,b02a,b02a=1 (none)->0; 2-6->1,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,14+
LFS,2024,LFS_pooled_person.dta,h_literacy,(not available),,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",missing,14+; B06 not asked from 2024
LFS,2024,LFS_pooled_person.dta,h_lfstatus,status1,1->1; 2->2; 3->3,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,NISR status1; ages 16+ (2017-19) / 14+ (2020+)
LFS,2024,LFS_pooled_person.dta,h_empstat,d05,"1,2->1; 3->2; 4->3; 6->4; 5,7->5","employment group: LFS, Census, EICV (+ AHS where asked)",exact,
LFS,2024,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2024,LFS_pooled_person.dta,h_isco1,indd01,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd01 (ISCO-08 major group, main job)"
LFS,2025,LFS_pooled_person.dta,h_relation,a02,"1->1; 2->2; 3,4->3; 5,6,7,8,9,10,11->4; 12,13,14->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,98/99 don't know/missing -> missing
LFS,2025,LFS_pooled_person.dta,h_marital,a05,"6->1; 1,2,3->2; 4,5->3; 7->4","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,asked of members 12+
LFS,2025,LFS_pooled_person.dta,h_educ,b02a,"1,2->0; 3->1; 4,5->2; 6->3","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,asked of members 14+; level attended/attending
LFS,2025,LFS_pooled_person.dta,h_attend,b02a,b02a=1 (none)->0; 2-6->1,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,14+
LFS,2025,LFS_pooled_person.dta,h_literacy,(not available),,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",missing,14+; B06 not asked from 2024
LFS,2025,LFS_pooled_person.dta,h_lfstatus,status1,1->1; 2->2; 3->3,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,NISR status1; ages 16+ (2017-19) / 14+ (2020+)
LFS,2025,LFS_pooled_person.dta,h_empstat,d05_v2,1->1; 3->2; 4->3; 6->4; 5->5,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,2025 ICSE-93 recode d05_v2
LFS,2025,LFS_pooled_person.dta,h_isic1,indd03,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9; 10->10; 11->11; 12->12; 13->13; 14->14; 15->15; 16->16; 17->17; 18->18; 19->19; 20->20; 21->21,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd03 (ISIC Rev.4 section, main job)"
LFS,2025,LFS_pooled_person.dta,h_isco1,indd01,1->1; 2->2; 3->3; 4->4; 5->5; 6->6; 7->7; 8->8; 9->9,"employment group: LFS, Census, EICV (+ AHS where asked)",exact,"NISR indd01 (ISCO-08 major group, main job)"
