21:37:19 02_checks INFO ==== 02_checks | run 20260905-213719_02_checks | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
21:38:43 02_checks INFO 
# Harmonization checks report

Generated by 02_checks.py.

## A. Completeness and no data loss (rows and native columns of the CURRENT source file)

| section | statistic | harmonised | reference | result |
| A | H_AHS_person.dta native columns present | 187 | 187 | PASS |
| A | H_AHS_animal_inputs.dta rows | 49,750 | 49,750 | PASS |
| A | H_AHS_animal_inputs.dta native columns present | 52 | 52 | PASS |
| A | H_AHS_credits.dta rows | 31,947 | 31,947 | PASS |
| A | H_AHS_credits.dta native columns present | 89 | 89 | PASS |
| A | H_AHS_eggs.dta rows | 56,074 | 56,074 | PASS |
| A | H_AHS_eggs.dta native columns present | 49 | 49 | PASS |
| A | H_AHS_extension.dta rows | 60,701 | 60,701 | PASS |
| A | H_AHS_extension.dta native columns present | 74 | 74 | PASS |
| A | H_AHS_fruits.dta rows | 29,239 | 29,239 | PASS |
| A | H_AHS_fruits.dta native columns present | 39 | 39 | PASS |
| A | H_AHS_honey.dta rows | 34,955 | 34,955 | PASS |
| A | H_AHS_honey.dta native columns present | 59 | 59 | PASS |
| A | H_AHS_inputs.dta rows | 26,723 | 26,723 | PASS |
| A | H_AHS_inputs.dta native columns present | 246 | 246 | PASS |
| A | H_AHS_land.dta rows | 72,211 | 72,211 | PASS |
| A | H_AHS_land.dta native columns present | 91 | 91 | PASS |
| A | H_AHS_livestock.dta rows | 65,808 | 65,808 | PASS |
| A | H_AHS_livestock.dta native columns present | 119 | 119 | PASS |
| A | H_AHS_milk.dta rows | 56,592 | 56,592 | PASS |
| A | H_AHS_milk.dta native columns present | 78 | 78 | PASS |
| A | H_AHS_tools.dta rows | 372,169 | 372,169 | PASS |
| A | H_AHS_tools.dta native columns present | 34 | 34 | PASS |
| A | H_SAS_plotcrop.dta rows | 632,756 | 632,756 | PASS |
| A | H_SAS_plotcrop.dta native columns present | 299 | 299 | PASS |
| A | H_SAS_plotcrop_2013_2016.dta rows | 1,121,780 | 1,121,780 | PASS |
| A | H_SAS_plotcrop_2013_2016.dta native columns present | 84 | 84 | PASS |
| A | H_SAS_screening_crops.dta rows | 752,143 | 752,143 | PASS |
| A | H_SAS_screening_crops.dta native columns present | 112 | 112 | PASS |
| A | H_SAS_agricultural_practice.dta rows | 264,758 | 264,758 | PASS |
| A | H_SAS_agricultural_practice.dta native columns present | 162 | 162 | PASS |
| A | H_SAS_antierosion_2017_2018.dta rows | 63,782 | 63,782 | PASS |
| A | H_SAS_antierosion_2017_2018.dta native columns present | 18 | 18 | PASS |
| A | H_SAS_farmq_part0_2013_2016.dta rows | 28,051 | 28,051 | PASS |
| A | H_SAS_farmq_part0_2013_2016.dta native columns present | 17 | 17 | PASS |
| A | H_SAS_farmq_part2a_2013_2016.dta rows | 68,623 | 68,623 | PASS |
| A | H_SAS_farmq_part2a_2013_2016.dta native columns present | 18 | 18 | PASS |
| A | H_SAS_farmq_part2b_2013_2016.dta rows | 30,944 | 30,944 | PASS |
| A | H_SAS_farmq_part2b_2013_2016.dta native columns present | 15 | 15 | PASS |
| A | H_SAS_farmq_part2b_fertilizer_2013_2016.dta rows | 27,825 | 27,825 | PASS |
| A | H_SAS_farmq_part2b_fertilizer_2013_2016.dta native columns present | 14 | 14 | PASS |
| A | H_SAS_farmq_part2b_pesticide_2013_2016.dta rows | 27,585 | 27,585 | PASS |
| A | H_SAS_farmq_part2b_pesticide_2013_2016.dta native columns present | 10 | 10 | PASS |
| A | H_SAS_farmq_part4_2013_2016.dta rows | 57,506 | 57,506 | PASS |
| A | H_SAS_farmq_part4_2013_2016.dta native columns present | 22 | 22 | PASS |
| A | H_SAS_farmq_part6a_2013_2016.dta rows | 544,186 | 544,186 | PASS |
| A | H_SAS_farmq_part6a_2013_2016.dta native columns present | 15 | 15 | PASS |
| A | H_SAS_farmq_part7_2013_2016.dta rows | 34,626 | 34,626 | PASS |
| A | H_SAS_farmq_part7_2013_2016.dta native columns present | 31 | 31 | PASS |
| A | H_SAS_fertilizers_2017_2018.dta rows | 63,817 | 63,817 | PASS |
| A | H_SAS_fertilizers_2017_2018.dta native columns present | 35 | 35 | PASS |
| A | H_SAS_fertilizers_pesticides.dta rows | 305,305 | 305,305 | PASS |
| A | H_SAS_fertilizers_pesticides.dta native columns present | 241 | 241 | PASS |
| A | H_SAS_irrigation_land_tenure_2017_2018.dta rows | 52,621 | 52,621 | PASS |
| A | H_SAS_irrigation_land_tenure_2017_2018.dta native columns present | 59 | 59 | PASS |
| A | H_SAS_lsf_farmq_part2a_2013_2016.dta rows | 2,023 | 2,023 | PASS |
| A | H_SAS_lsf_farmq_part2a_2013_2016.dta native columns present | 14 | 14 | PASS |
| A | H_SAS_lsf_farmq_part2b_2013_2016.dta rows | 2,052 | 2,052 | PASS |
| A | H_SAS_lsf_farmq_part2b_2013_2016.dta native columns present | 15 | 15 | PASS |
| A | H_SAS_pesticides_2017_2018.dta rows | 62,660 | 62,660 | PASS |
| A | H_SAS_pesticides_2017_2018.dta native columns present | 31 | 31 | PASS |
| A | H_SAS_screening_2017_2018.dta rows | 243,835 | 243,835 | PASS |
| A | H_SAS_screening_2017_2018.dta native columns present | 47 | 47 | PASS |
| A | H_SAS_screening_agroforestry.dta rows | 261,134 | 261,134 | PASS |
| A | H_SAS_screening_agroforestry.dta native columns present | 30 | 30 | PASS |
| A | H_SAS_screening_antierosion.dta rows | 287,508 | 287,508 | PASS |
| A | H_SAS_screening_antierosion.dta native columns present | 29 | 29 | PASS |
